,id,title,company,location,postingdate,today,summary,salary,url
0,88d0fa9c7504ebf8,Senior Business Analist,De Wever,Tilburg,Meer dan 30 dagen geleden,2021-03-13,"Je neemt een initiërende rol in het opstellen en uitvoeren van de data- en informatiestrategie.
Als Senior Business Analist analyseer je de impact van nieuwe …",€3.557 - €4.744 per maand,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AtaeNKxVTkAha_7T0xi11zZbMDGPH5fpbvSOTf1yxiDdgD61DH9iSMqvgzZfhGwPOm65-cdYQSAoATE7DzV5m8Gf_zfU6bpQxwltdeXcwFiUDVqGbBw6zUnue5nZt95OlVenql-R2EUZw0cesKtYFjjDVF-_Nr6Q2keDiwrB1NfV936EwDqdUtAXws2yxM0Uh8SKpGx3gFLp34w-haL0h7hTf6sB2q641N-u7FG68qlXqD28OYvkLJqvtnQY9xFRsIwpcHPVsvY5ss7GYXcs1NbXb3RdmK1qCTkno_Wit6VZb2M5OgrRdY7HoFIWh34MyBEZB5cSRSb9n7jAOWoa2kjlzpXVK0xNa1MiQ3Gvll-DuGwiO2ooRuI7LjE8kMrU6RuPAwC8x6DlbFig4Hf-dB1t6yAz8jMkOxYufEPv16kXCYPoiah2jmBhkVUahiw2FKjGDdaTr4K4v1rEar5JPqJbC4DiRioIE=&p=0&fvj=1&vjs=3
1,b6da0a4a7a800ba6,(Junior) data analist,Invorderingsbedrijf BV,Den Haag,1 dag geleden,2021-03-13,"Weet jij zeker dat jij de data analist bent die wij zoeken?
Het begeleiden van data stagiaires.
Het ontsluiten, verrijken en leveren van data.",€1.900 - €2.700 per maand,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AxJuVfXyesWSbtg2UzXp20a27PE0oSovRXd7DqGQ9NjLy79yb9hjJKrK36IJyOvYaTOYCpaQFjENsuRSFD-pbCwbBCgXjwI8FNfkySc_-kVrhgGRfXfW12XIpOo-zk9o_rNyXe18TtupxJfGChKUNq5w-uPuOb8oSK8hmQpv6ZDaQlIq_B5r9aJzwT2_fS7jfOsP0sFZJyWL2gA2whkbsCITTv9d-huUBhplD0Xt51M9dikWROh6_Pa8pKuJ_82IXL3uGbit1Q6CyTcXhdkwLUh8PRzK-hkNdh-R_BkKZJsEp4dJr_buNhjkZYea2Kv2YvcaPSwICfJoD8dEeKeJzgmBJ5d9OkK3h8F8SP_qtVKIXHhcMWuXpQttd01UsUlJDzLf34nY7rXJJiuYcroYlWh9q5zyyRdDxd6YvN1lzqvPj0JTvtva6nAVeeItdHKRR1TtqwESVyMtUwdR2Mput4&p=1&fvj=1&vjs=3
2,05a4124d844292f6,Junior Data Analist,Insight First,Utrecht Binnenstad,4 dagen geleden,2021-03-13,"Vaak hebben onze klanten geen eigen data analist in dienst dus is je contactpersoon bij de klant de CFO, CEO of E-commerce.
Het begint immers bij de business.",€2.600 - €3.200 per maand,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B4ZkKN01jPGb-4Ij4TBtMXPLOualTEWd3hZ4qQOiEdRKSIL5IA9llFToxT9QqCltPurnKYXINeYRciWB0YXNWBcDiEi2EhGRSrZJ0zzhMajt9PVo9IfJuKL17dlwFR_9FbEOqOrTzflqCXEigBCtviCXJiBACOiKeHP1GtV1J-X6fqFXqTaDGG0fRaNCtMHd31ly9Sn9xbeRSmxqFmfGDHZ3__o0_3UVfDrPYwmJLttgkdXvxF30wnftOBocKfNAtly8xC7LLKxdCe8XSlUOibj-zuDe8_XUxwNDRHcSY27NcqGbnkUVw0vjr5INL0oUsPxrPxhB1TGwzT08SCzJuIUBjZFAiv8BZpb0dzDdauIUmsDxy3I0Q0MDqnSKlS5kI9DXl-a-OnQBpBYLWMCcrgEqRheCN7_6uNVyF96J61tIOPJfEGD7pb420ifd6N4xvKZLgsT-MhkA==&p=2&fvj=1&vjs=3
3,e612b632ad1650e8,CRO / Marketing Data Analist,Rotom Nederland B.V.,Best,15 dagen geleden,2021-03-13,"Als CRO / marketing data analist word je onderdeel van een jong en dynamisch team met daarin drie directe collega’s en een teamleider.
Wat vragen wij van jou?*.",,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AIc4BrRAsVe3RSkDVo-za-HAUPmuCgbStg4LwmkcnEQuxc0c8N1QliRrvUKzd4uoUP_9J0MKqhNps4aw9hdJHMqIILiwlr4uaq411JxNW3oG6S78tSXVYjet66dER4tlfYTu9iYWPfsgTAwrDOC7_LoNzCs_FakuJ0qTikxGZF3VyVoZynW3VVhmXmO3M9Q8XwihvxKSCeLHoQvKeMQXPOi3P2Jk2k8z2P3VUncx5u7xYj3d4EoMa8yniCApCTTqK9klyJ4Am9IisbMyfuvM5xiVyQlH9zg6iXMvdC7cFyfMG_JgHJjRZS-kDJHct7SyRMEhswCO9ejXL8QB2_8eWsqtmBv9O3czLRYPggPQW1FselzWMTalCslWRDhglL_OWN7eCsstAA1VTE_Y8uq94WU76cgJ_3nS0ZTbT64eYlV84dSTBzm0rmvGkEjgAUAcs7DkSFb851W9nME-SmLo40&p=3&fvj=1&vjs=3
4,8ab7a6fcae7ca542,Senior Data Analist,Interpolis,Tilburg,3 dagen geleden,2021-03-13,"Je hebt WO werk- en denk niveau en je hebt geen ‘’van 9 tot 5’’ mentaliteit, aangevuld met minimaal 5 jaar ervaring als data-analist of in een relevante functie…",€3.876 - €5.395 per maand,https://nl.indeed.com/rc/clk?jk=8ab7a6fcae7ca542&fccid=03f132ae78f0fd63&vjs=3
5,b80883159b35a0d4,Data Analyst,Luxoft,Werk van thuis,1 dag geleden,2021-03-13,"O Reconcile PSPs (Payment Service Providers) and internal systems data.
Improving month-end financial close processes by suggesting effective data solutions.",,https://nl.indeed.com/rc/clk?jk=b80883159b35a0d4&fccid=4b841d912d46e4fd&vjs=3
6,c5e43e9c8c48cde8,Data-analist meetdata,Joulz,Delft,1 dag geleden,2021-03-13,"Daar waar de computer de data niet vertrouwd, komen deze bij de data-analist.
Als data-analist zorg je ervoor dat de juiste gegevens verstrekt worden aan de…",€2.790 - €3.394 per maand,https://nl.indeed.com/rc/clk?jk=c5e43e9c8c48cde8&fccid=dfdf95d24c3354aa&vjs=3
7,640a02bcb832fc43,data analist,HVC,Velsen-Zuid,Vandaag,2021-03-13,"Als Data-analist ben je in staat om inhoudelijk te schakelen met de organisatie.
Als Data-analist ben je bezig met het verzamelen en controleren van gegevens om…",€3.170 - €5.205 per maand,https://nl.indeed.com/rc/clk?jk=640a02bcb832fc43&fccid=6a85297592fcb9ab&vjs=3
8,259778b2faa5e0af,Functioneel Data Analist Claims,Zilveren Kruis,Leiden,3 dagen geleden,2021-03-13,"Je zet daarbij data in om de grondoorzaak van een probleem te achterhalen.
We beschikken over zeer veel data en willen aan de toenemende vraag naar analyses…",€2.679 - €3.695 per maand,https://nl.indeed.com/rc/clk?jk=259778b2faa5e0af&fccid=7ca46013dc607bed&vjs=3
9,6a28b29568a5595a,Data Analist,Gemeente Rotterdam,Rotterdam,2 dagen geleden,2021-03-13,"De data analist wordt rechtstreeks aangestuurd door de manager Bedrijfsvoering.
Je hebt kennis en ervaring in data analyse projecten evt. met statistische/data…",€2.973 - €4.494 per maand,https://nl.indeed.com/rc/clk?jk=6a28b29568a5595a&fccid=ded0d08a7027b5a3&vjs=3
