id,description,scrapetimesdescription
9e09736da4aa0362,"Lucrasoft ICT Groep  Wij zijn een ICT Groep met ambitie en op dit moment zijn onze teams hard aan het groeien. Voor alle plannen die we hebben zoeken we een content marketeer met minimaal 3 jaar ervaring. Ben jij een echte aanpakker en op zoek naar een uitdaging, dan maken we graag kennis!  Waar kom je te werken Lucrasoft ICT Groep bestaat uit drie teams: Lucrasoft ICT Beheer, Dutch Grit en DEPOT Software. Elk met een eigen groeistrategie, propositie, doelgroep en behoeften op marketing / communicatie vlak. Onze werkwijze is informeel, we geven veel ruimte aan eigen inbreng, werken veel samen, maar verwachten ook een hoge mate van zelfstandigheid. De groei die we ambiëren geven we vorm met het Scaling-up model van Vern Harnish, waarbij een soepel lopende marketing machine een absolute must is.  De ervaring die we zoeken Wij zoeken een marketeer met minimaal 3 jaar ervaring in online / digitaal / content marketing. Je beheerst het hele proces van lead-generatie. Van het bedenken van een aanvalsplan, creëren van content (zelfstandig en met onze flexibele schil) tot aan het testen, analyseren en optimaliseren. Wij geven de voorkeur aan een hands-on aanpak, gewoon beginnen en onderweg bijsturen waar nodig. Profiel Minimaal 3 jaar ervaring HBO denk- en werkniveau (als jij dit op een andere manier dan met diploma’s aan kunt tonen, dan is dat prima!) Bekend met Photoshop & Indesign Handig met mail- & marketing automation systemen, Google tools (datastudio, analytics, adwords) Voorkeur omgeving Hendrik-Ido-Ambacht of Zwolle Voor deze functie is een scorecard opgesteld: Download functie scorecard (pdf) Wat je van ons mag verwachten Marktconforme beloning, uitstekende secundaire voorwaarden Diverse opleidingsmogelijkheden Fijne kantooromgeving en zolang dat nodig is alles om goed thuis te werken Mogelijkheid om (deels) thuis te werken, ook na corona Zodra het weer mogelijk is: goed verzorgde lunches, vrijdagmiddagborrels en team uitjes. Tot die tijd Teams bingo’s en borrelpakketten met de post J Je kunt direct beginnen Vragen of direct solliciteren? Heb je vragen over deze vacature neem dan contact op met Gerjan van der Giessen of bel naar +31 (0)78 68 11 500. Om direct te solliciteren stuur je Gerjan een e-mail met je motivatiebrief en curriculum vitae, hierna zal hij contact met je opnemen over de vervolg procedure. Lucrasoft ICT Groep  Lucrasoft is de IT Groep achter de merken: DEPOT Software, Lucrasoft IT Beheer, Dutch Grit, Movin, Picario en start-up programma De Stoomfabriek. De groep is vanaf 1996 organisch gegroeid naar 50 medewerkers, 2 locaties, 3 zelfstandig werkende business units en 5 merken. Lucrasoft is in particulier bezit en wordt geleid door een 3 man sterke directie en 3 zelfsturende managers. Meer lezen over de groep",2021-03-16 15:43:09
e1b74e9e6cd48fb7,"Standplaats: Meppel  Functieomschrijving Ter ondersteuning van ons team zijn we per direct op zoek naar een commercieel marketeer met een voorliefde voor social media. Je gaat aan de slag met het uitdragen van de content voor onze website, social media kanalen en blog.  Aanbod Wij bieden je een aantrekkelijke uitdagende job aan, die je deels vanaf onze locatie in Meppel en deels vanaf je eigen locatie uitvoert. Je ontvangt van ons de benodigde apparatuur om je functie optimaal te kunnen uitvoeren Marktconforme beloning met doorgroeimogelijkheden Informele, enthousiaste, maar professionele werksfeer  Functie-eisen Bekend, vaardig met o.a. facebook, Twitter, Google+, Pinterest en op de hoogte van de technische mogelijkheden en recente online ontwikkelingen hierin Creatief met taal en hebt ervaring met het schrijven van teksten geschikt voor internet Bekend met online sales en marketing en telefonische acquisitie Snel, nauwkeurig en gestructureerd, flexibel en klantgericht Proactief, zelfstandig, betrokken en niet bang om initiatieven te nemen Ervaring met HTML, CMS systemen, beeldbewerking en/of Google Analytics is een pré.  Bedrijfsprofiel Lessa is een online platform waarop cursisten lessen en workshops zoeken en boeken op het gebied van onder andere sport, muziek, koken, dans & film en nog veel meer.    Reageren  Is deze functie jou op het lijf geschreven? Stuur dan een mail met je motivatie naar info@lessa.nl t.a.v. Vincent Hoes.",2021-03-16 15:43:12
1ff98f36c33327c6,"Job Description Are You Ready to Make It Happen at Mondelēz International? Join our Mission to Lead the Future of Snacking. Make It With Pride. You will implement the operational capabilities of the business and support the operational elements for the market. You will coordinate route planning, system capabilities and tools management for the sales team. How you will contribute You will: Coordinate and initiate customer and employee master data changes for sales including processing of data. Support the implementation of organizational realignments for master data and administrative processes. Support the revision/development of relevant sales policies and administrative processes including the provision in suitable media. Test for system implementation and system changes working closely with sales as well as various internal departments and external service providers. Identify and implement master data simplification opportunities. What you will bring A desire to drive your future and accelerate your career and the following experience and knowledge: Experience in customer service, logistics or sales support Basic knowledge of sales systems and tools (including SAP and MS Excel) Solid communication and problem solving skills Ability to handle and resolve multiple queries, respond quickly and maintain composure Deep understanding of online shopper and consumer behavior Understanding of the newest marketing tools Technical expertise and a passion for innovation, understanding a variety of disruptive technology products and services Proven successful team player attitude Familiarity with the fast-moving consumer goods or related sector Purpose of role In this role you will be responsible for (co)creating best in class digital content and implementation advice on external websites in order to drive conversion and sales, as well as securing implementation on our own websites, as part of overall inline brand strategy. You will also focus on unlocking your digital content expertise to the broader commercial organization and further building of e-commerce capabilities / insights. Main responsibilities Coordinate the development of online in-store assets and optimization of product content with agencies and marketing for own and external websites Ensure excellent online visibility by monitoring KPI's and providing resources to the BNL e-commerce team Creation of Digital Content, supporting Mondelēz Brand stores and key activation pages of Mondelēz brands Analyze results to continuously test, measure and optimize content Participate in (test&learn) project teams Operating environment You are part of a new, extended team that is going to build capabilities on the fly, delivering solutions revealed as a result of the testing and learnings, and developing strong partnerships to enable growth through innovation and agile methodologies. You will be the center of excellence regarding best in class digital content (co)creation. You are bringing the outside in with relevant experience in driving online sales with effective digital content, building your knowledge of actual proof-of-concept cases, and scope, align, adopt and leverage technology for respective learnings and pilots. With your digital content experience, you will be the sparring partner for cross functional teams and will work closely with the following departments: Benelux peers in Category Planning and Marketing Benelux E-commerce/OOH team Master data External agencies Qualifications & Leadership competencies 3-5 years relevant working experience Understanding of newest marketing tools Good understanding of shopper and consumer behavior Strong communication skills Ability to influence stakeholders across markets, functions and cultures Creative mindset Strong drive for results and ability to get things done Strong business acumen Ability to deal with ambiguity Fluent English / Dutch, French is a plus Location To be located in either: Breda (NL) (per July 1st 21, current Oosterhout) or Mechelen (BE). You will report to the Digital Sales Activation Manager Benelux. The responsibilities of this position are performed within the framework of a regional business model that is defined and managed by Mondelēz Europe GmbH, Switzerland . No Relocation support available Business Unit Summary At Mondelez Europe, we are proud, not only of the iconic brands we make, but also of the people who make them. Our delicious products are created in 52 plants across Europe by more than 28,000 passionate people. We are the top maker of chocolate and biscuits and a leading maker of gum and candy. We make sure our powerful global brands and local jewels like Cadbury , Milka and Alpen Gold chocolates, Oreo , belVita , LU and Tuc biscuits, and Stimorol and Dirol gums get safely into our customers hands—and mouths. Great people and great brands. That’s who we are. Join us on our journey to continue leading the future of snacking around the world by offering the right snack, for the right moment, made the right way. Mondelēz International is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation or preference, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. Job Type Regular Sales Operations Sales",2021-03-16 15:43:16
72b9a01bfe0d96fc,"Als content marketeer weet je aantrekkelijke en converterende content te creëren voor onze opdrachtgevers en ons eigen bureau Think Yellow. Of het nu gaat om short of long copy, een campagne of een magazine. Je bent in staat om discipline-overstijgend te denken en oplossingen praktisch vorm te geven. Dat doe je in samenwerking met een team van designers, online specialisten, merkstrategen en adviseurs van Think Yellow. Je staat midden in de digitale transformatie. Begrijpt hoe tekst een belangrijk onderdeel is van de digital journey en hoe zich dat verhoudt tot de offline communicatie. Jij bent een tekstuele motivator, intrinsiek gemotiveerd om te verrassen, maar verliest het effect van vindbaarheid en impact daarbij niet uit het oog. Je bent eraan gewend dat je daarbij vaak schakelt met ondernemers, directies en (hoger) management. Voor hen ben jij een inspirerende adviseur. Je bent creatief, doortastend, een uitstekende communicator en weet je als geen ander in andere markten en doelgroepen te verplaatsen. Je werkzaamheden als Content Marketeer (Den Haag) Het initiëren van onderzoeken ter verbetering van de contentstrategie en contentmanagement Het maken van voorstellen, plannen en presentaties voor contentstrategie en contentmanagement Het opzetten van redactionele formules voor websites, het opzetten en uitwerken van formats, en het schrijven van content. Verantwoordelijk voor efficiënte SEO verwerking in je content Het initiëren, voorstellen en implementeren van nieuwe ontwikkelingen Het signaleren van trends en ontwikkelingen op het gebied van content en deze vertalen naar de behoefte van de business. Jij bedenkt en adviseert over content, richt een kalender in en voert campagnes om je klanten online beter vindbaar en zichtbaar maken. Niet onbelangrijk Je houdt van afwisseling. In de comfortzone hangen is niet jouw stijl. Je voelt je thuis bij onze ambitieuze plannen en bent hiervan een belangrijke aanjager. Samen tillen we ons bureau naar een nog hoger plan, maar je acteert daarin ook gedeeltelijk zelfsturend. En nu even heel concreet HBO plus/ WO werk- en denkniveau Minimaal 4-5 jaar ervaring met copy/ content (een journalistieke inslag vinden we niet erg ) Uitstekende adviesvaardigheden Ervaring in het ontwikkelen en maken van content voor campagnes Resultaatgericht, initiatiefrijk, overtuigend en bovenal een plezierige collega Zelf startend, probleemoplossend en signaleert tijdig trends en ontwikkelingen (Tekstueel) Communicatief ijzersterk Kennis en affiniteit met CMS’en en andere ondersteunende tooling.  Miriam de Vries Recruiter Heb je vragen over deze vacature? Neem contact op met Miriam. Mail Miriam Over Think Yellow Think Yellow is een groep van bureaus, en volop in beweging. Samen helpen we bedrijven discipline-overstijgend bij de uitdagingen van dit digitale tijdperk. Wij begrijpen de impact van digitale ontwikkelingen bedrijven. Op nieuwe verdienmodellen, processen en positionering. En we weten wat mensen beweegt. Wat ze leuk vinden. Hoe ze praten. Waarom ze zaken zouden willen doen. Kortom, we weten wat er nodig is om het verschil te maken. Hoe je relevant blijft in dit digitale tijdperk. Na een enerverende 10 maanden staan we aan de vooravond van de volgende stap met onze onderneming en werken hard aan lopende en nieuwe projecten. En daar hebben we jou voor nodig, want dat willen we namelijk doen met de beste mensen. Think Yellow bestaat uit Smidswater (branding en campagnes), Online Marketeers (online marketing), Hello There (digital development), ZOOOM (video marketing) en Employity (recruitment). Je weet wat je moet doen. Grijp die kans. Doorbreek de sleur en ga voor die volgende stap. Take a chance. Dit gaat sowieso mooie herinneringen en ervaringen opleveren. A smooth sea never made a great sailor. Dusss join us for greatness. Sluit je bij ons aan! Heb je nu nog steeds niet gesolliciteerd? Schiet eens op joh Hier is dat formulier.",2021-03-16 15:43:19
f7a03a326239dcb2,"Bedrijfsomschrijving Optimerce B.V. gevestigd in Haelen is een e-commerce bedrijf gespecialiseerd in verkoop via online platformen in heel Europa. Wij verkopen verschillende assortimenten op basis van exclusiviteit en helpen de merken hiermee toe te treden tot nieuwe markten en afzetgebieden. Met behulp van onze logistieke partner verzenden wij de producten dagelijks aan de consumenten in Europa. Ook verzorgen we facturatie aan de consument met de daarbij behorende BTW afdrachten. Vacaturetekst Beschrijving van de werkzaamheden Ter uitbreiding van ons team zoeken wij een online content manager. Je bent verantwoordelijk voor het uitbreiden van de product content van ons assortiment. Je bent verantwoordelijk voor het verwerken van de content in ons content management systeem. Je bent verantwoordelijk voor het listen van nieuwe producten. Je rapporteer aan de merk verantwoordelijke. Daarnaast help je bij het opzetten van nieuwe verkoopkanalen. Wij vragen Goede beheersing van de Nederlandse en Engelse taal. Bij voorkeur ervaring met online content beheer. Bij voorkeur ervaring in de E-commerce markt. Bij voorkeur ervaring met Magento & Woocommerce. Bij voorkeur ervaring met Social Media Advertising. Bij voorkeur ervaring met Search Engine Optimazation (SEO) Kennis van de Franse, Spaanse en/of Duitse taal is een pré. Ons aanbod Een uitdagenede functie binnen een snel groeiende organisatie met uitzicht op een vaste baan. Een klein & jong team met enthousiaste collega’s. Marktconforme arbeidsvoorwaarden. Doorgroeimogelijkheden binnen de organisatie bij gebleken geschiktheid. Een laptop om werken thuis & onderweg mogelijk te maken. Parttime uren: 24-40 per week Thuiswerken: in overleg Parttime uren: 24-40 per week Soort dienstverband: Fulltime, Parttime Arbeidsvoorwaarden: Werk vanuit huis Werkschema: ma-vr Thuiswerken: Ja",2021-03-16 15:43:23
12bde6a845813a2b,"Het avontuur Als fact-based CRM marketeer ga je aan de slag met het verzamelen en analyseren van de beschikbare klantdata waarmee je inzicht verschaft in klantkenmerken en klantgedrag. Jij bepaalt heldere en commercieel relevante segmentaties en ontwikkeld per klantgroep een heldere strategie voor het realiseren van de maximale klantwaarde. Je bent de drijvende kracht achter ons loyaliteitsprogramma, bedenkt hoe je onze huidige klantdatabase beter contactbaar maakt en gaat nadenken over de nog op te zetten customer lifecycle campagnes. Door ontwikkelen van ons loyaliteitsprogramma Contactbaarheid van onze klantdatabase vergroten Uitrol customer lifetime campagnes Het ontwikkelen en monitoren van B2C campagnes op basis van klantinzichten, klantgegevens, marktontwikkeling en trends het opzetten van product- en customer lifecycle campagnes Het medebepalen van de juiste middelen en omni-channel kanaal mix Het ontwikkelen van gepersonaliseerde en geïndividualiseerde campagneselecties en logische campagneflows Het opzetten en onderhouden van omni-channel klant dashboards  Je uitrusting Je hebt een overall marketing strategisch overzicht en bent in staat om als overkoepelend aanspreekpunt te fungeren en mensen binnen en buiten het team te inspireren met nieuwe groei initiatieven. Daarnaast: Je bent kwaliteitsgericht, hebt aandacht voor details Je bent sterk in plannen, organiseren en uitvoeren Je bent een ervaren CRM Marketeer (B2C) en pakt zelfstandig lopende en nieuwe projecten op. Bij voorkeur heb jij ervaring opgedaan binnen een Omni-channel retail omgeving Minimaal 3-4 jaar werkervaring in CRM HBO werk en denkniveau Is Analytisch sterk en ervaren met grote hoeveelheid klantdata Kan zelfstandig CRM strategieën uitwerken en uitvoeren Is pro actief, data gedreven en resultaatgericht Kennis van en ervaring met Email marketing. Basiskennis HTML  Bever biedt jou De organisatie van Bever kenmerkt zich door een vlakke hiërarchische structuur en een informele omgangsfeer. De gezamenlijke affiniteit met buiten en vooral de motivatie om te blijven bouwen aan het succes van Bever dragen bij aan een hechte bedrijfscultuur. Een fulltime uitdaging 36-38 uur met passend salaris Een afwisselende uitdaging in een groeiende organisatie Een laptop 20% personeelskorting (die ga je nodig hebben.. ) ) 24 vakantiedagen om lekker naar buiten te gaan Een pensioenregeling- en reiskostenregeling Korting op een sportabonnement Met de online trainingen via Goodhabitz kun je elke dag een beetje beter worden  Ga jij het avontuur aan? Altijd al voor Bever willen werken? Start dan hier jouw avontuur! Solliciteer dan nu direct via onderstaande button en upload jouw CV en motivatiebrief. Zelfs in deze bijzondere tijd van de coronacrisis ontvangen wij graag je sollicitatie! Wij doen ons uiterste best om je op korte termijn een reactie te geven. Een eventueel eerste kennismakingsgesprek zal digitaal plaatsvinden en een vervolggesprek op kantoor (uiteraard volgens RIVM richtlijnen). Voor meer informatie stuur een mailtje naar: vacature@bever.nl Bij Bever bewandelen we graag onze eigen paden, acquisitie voor deze vacature wordt niet op prijs gesteld.   Standplaats Pijnacker",2021-03-16 15:43:26
cd6d93f9e0af4a38,"Word jij onze nieuwe Online Marketeer? Wij zijn op zoek naar een gedreven Online Marketeer die een passie heeft voor verschillende facetten binnen de Online Marketing. Word jij blij van dé beste online marketingresultaten? Dan zijn wij op zoek naar jou! Als Online Marketeer ga je je inzetten in verschillende facetten van online marketing, zoals het opzetten van marketing automation, maar je houdt je ook bezig met conversie optimalisatie en het opzetten van landingspagina’s. Markant Internet is een jong team met gezonde prestatiedrang! We willen de beste resultaten halen om het vertrouwen van onze klanten terug te betalen. Wij zitten vol ambitie en zijn op zoek naar een Online Marketeer met dezelfde ambitie die ons team komt versterken. Voel jij je hierin thuis en wil je de bijdrage leveren aan de online zichtbaarheid en conversie van bedrijven? Solliciteer dan. Wat we jou bieden Een werkplek van 32 tot 40 uur per week Een markantconform salaris Nauwe samenwerking binnen de unit (team) waar jij projecten mee aanvliegt Handvatten om jezelf verder te ontwikkelen Grote zelfstandigheid je hebt veel in te brengen in de strategie en krijgt de verantwoordelijkheid over klantcampagnes Wat verwachten we van jou? Dat je een (internet) marketing gerelateerde HBO-opleiding hebt gevolgd en afgerond zoals Commerciële economie, Ondernemerschap & Retailmanagement of Media, Informatie en Communicatie Bereid zijn om klantcontact te onderhouden Goede beheersing van Nederlandse taal Verantwoordelijkheid nemen en dragen Beschrijven we jou in deze vacature en wil je samen met ons successen behalen voor de klanten van Markant Internet? Reageer dan direct!",2021-03-16 15:43:30
d290e767d091b71a,"Agion groeit en is daarom op zoek naar enthousiaste en goed gekwalificeerde collega’s. Weet jij als geen ander op de juiste manier een doelgroep te targetten, door middel van relevante data, klantinzichten, doelgroepen en marktontwikkelingen? Weet jij de juiste mix van marketinginstrumenten hierop in te zetten? Heb je al aantoonbare praktijkervaring opgedaan? Dan komen we graag in contact met je. Marketeer (Rijssen) Agion groeit en is daarom op zoek naar enthousiaste en goed gekwalificeerde collega’s. Weet jij als geen ander op de juiste manier een doelgroep te targetten, door middel van relevante data, klantinzichten, doelgroepen en marktontwikkelingen? Weet jij de juiste mix van marketinginstrumenten hierop in te zetten? Heb je al aantoonbare praktijkervaring opgedaan? Dan komen we graag in contact met je. Functie omschrijving Jij gaat aan de slag met het creëren van new business van Agion op de Nederlandse markt. In de rol van marketeer ben je de aanjager m.b.t. marketingcampagnes. Jij zit er middenin. Je wordt nauw betrokken bij het salesteam en je krijgt de input om de vertaalslag te maken naar pakkende marketingcampagnes zowel voor bestaande als voor nieuwe klanten (lead generatie). Voor jou kennen SEO, Google Analytics, Google Ads, Qualifier, LinkedIN, Instagram en andere social media geen geheimen. Je levert de input voor de juiste klant- en marktbenadering. Verder ben jij een belangrijke speler m.b.t. branding / rebranding, bewaking huisstijl en website. Tevens heb je afstemming met leveranciers. Het profiel Wat wordt er van je verwacht: – HBO werk- en denkniveau – minimaal 3 jaar relevante werkervaring op het gebied van Marketing, CRM en Business Development binnen een commerciële organisatie – analytisch sterk / passie voor data – weet anderen met jouw enthousiasme mee te nemen in veranderingstrajecten – een resultaatgerichte instelling, waarbij je sterk bent in plannen en organiseren – ervaring met Branding / Rebranding – IT of ERP ervaring is een pre Neem voor meer informatie gelijk contact op met: Bert-Jan Kok 06-46343680 b.kok@asecom.nl De organisatie AGION is IT-dienstverlener en SAP Gold Partner voor hét ERP-systeem van het MKB SAP Business One. Zij helpen groothandels, productie- en servicegerichte bedrijven hun bedrijfsvoering te stroomlijnen en (groei) ambities waar te maken. AGION is recent overgenomen door Asecom, de meest succesvolle SAP Business One Gold Partner in de Benelux. Samen bedienen ze ruim 400 klanten en hebben vestigingen in Rijssen, Amersfoort, Breda en Wijchen. Dit doen ze met een team van meer dan 70 enthousiaste collega’s.  Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld. De werving & selectie is uitbesteed aan TwenteXL werving & selectie. Je komt rechtstreeks in dienst bij je nieuwe, vooraanstaande, professionele werkgever.  Arbeidsvoorwaarden Natuurlijk een marktconform salaris, laptop en mobiele telefoon. Veel belangrijker vinden wij het om jou de kans te geven je te ontwikkelen en verder te groeien. Je krijgt dan ook bij ons goede doorgroei- en opleidingsmogelijkheden. En we verwachten van jou dat jij je blijft ontwikkelen! AGION is zelf ook een groeiende en stabiele organisatie met ambities voor de toekomst. Als je bij AGION aan de slag gaat, staat een uitdagende functie op je te wachten binnen een sterk team met veel ruimte voor eigen initiatief en direct klantcontact. De sfeer binnen AGION wordt gekenmerkt als resultaat- en klantgericht waarbij teamwork voorop staat.",2021-03-16 15:43:33
1343e8d6554547dc,"Functionele beschrijving Spreek je vloeiend Duits? Ben je een digital native en heb je interesse in online marketing? Kun je jouw eigen schoenen nog verkopen met online marketing? En ben je bekend met AdWords, Instagram, Facebook? Dan hebben we de baan die jij zoekt! Leads International Leads International is een toonaangevend internationaal online marketingbureau. Wij ondersteunen bedrijven, organisaties en andere marketingbureaus met hun (internationale) online ambities. Sinds de oprichting zijn we een internationaal bureau. Je zou kunnen zeggen dat het ons DNA is. En we durven te zeggen dat we een ongeëvenaarde mate van internationale focus en ervaring hebben opgebouwd in de afgelopen 15 jaar. Wat vragen we van jou: – Je speelt een belangrijke rol in de communicatie naar onze bestaande en potentiële klanten – Je herkent de lokale Duitse markttrends en vertaalt deze naar een werkbare service – Je weet waar de klant naar op zoek is en bent in staat dit te vertalen in een efficiënte marketingstrategie. – Een energiek karakter zodat je onze mooie, inspirerende, interculturele omgeving in het hart van Tilburg kunt managen. De persoon die we zoeken is: – Een teamspeler je kunt zowel met een team als zelfstandig werken – In het bezit van een sterke commerciële persoonlijkheid – Je hebt een diploma op HBO-niveau of hoger – Vloeiend in zowel Duits als Engels – Geïnteresseerd in online marketing en digitale trends – Minstens 2 dagen per week beschikbaar. Als je Duits vloeiend is en je weet hoe je marketinggerelateerde uitdagingen kunt vertalen naar strategieën, dan is deze functie volgens ons de juiste volgende grote stap in je carrière. Nog steeds geïnteresseerd? Stuur jouw sollicitatie naar elle@leads-international.eu Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld.",2021-03-16 15:43:37
295cc90bec412591,"MARKETING MEDEWERKER @ SCAPINO Marketing Medewerker Ter versterking van het Marketing team van Scapino zoeken we een enthousiaste en gedreven Marketing Medewerker! Als Marketing Medewerker ben je verantwoordelijk voor de ontwikkeling van divers marketing- en winkelmateriaal, drukwerk en coördineer je marketingacties. Je zorgt dat onze reclame-uitingen worden gemaakt, begeleid dit van A-Z en zorgt dat het marketingmateriaal voor onze 170 winkels er perfect uit ziet. Je maakt briefings voor de creatief DTP-er en bewaakt de look & feel in lijn met het brandbook van Scapino. Daarnaast onderhoud je contact met externe leveranciers, waaronder ons reclamebureau en diverse drukkerijen en werk je doorlopend mee aan de (vele) marketingprojecten die op de kalender staan. Een greep uit je taken en verantwoordelijkheden: Begeleiden opmaak en invulling van de reclamefolders. Nauw samenwerken met afdelingen inkoop en verkoop voor de juiste input t.b.v. de invulling van onze reclame-uitingen. Analyse en rapportage van de effectiviteit van onze reclame-uitingen. Ontwikkelen en up-to-date houden van divers marketingmateriaal en basisrichtlijnen voor de winkels in samenwerking met de afdelingen inkoop en verkoop. Samenstellen en onderhouden van de POS verdeellijsten voor het filiaal specifiek verpakken van de POS pakketten. Opvragen van offertes en contacten onderhouden met externe drukkerijen, uitgevers en reclamebureaus voor het inkopen van drukwerk, uitingen en (winkel)materialen. POS voorraad monitoren en up-to-date houden in nauwe samenwerking met het distributiecentrum. Organiseren en begeleiden van (lokale) marketingacties, events en – joint promotions. Brede ondersteuning bij fotoshoots, de ontwikkeling van campagnemiddelen, diverse marketingprojecten en overige marketing-/communicatiewerkzaamheden van de afdeling. Je bent het aanspreekpunt voor vragen vanuit onze winkels. Wat verwachten we van jou? Heb je een mbo opleiding in de richting van marketing en / of communicatie Heb je 0-2 jaar ervaring in een vergelijkbare rol Je bent vaardig met MS Office en met name Excel. Je kunt goed planmatig en zelfstandig werken Je bent gestructureerd en accuraat Je bent pragmatisch, hands-on en flexibel ingesteld Je bent communicatief sterk Je bent stressbestendig Ervaring in de fashion branche is een pre Ervaring met grafische vormgeving is een pre. Meer informatie en reageren Ben je enthousiast geworden en wil je de nieuwe Marketing Medewerker worden voor dit team? Pak dan je kans en reageer direct! We ontvangen graag jouw motivatiebrief en CV. Bij vragen kan je contact opnemen via 0592-379379. SOLLICITEER DIRECT",2021-03-16 15:43:40
