,Title,Company,Location,Date,Scrape Date,Summary,Salary,Url
0,Traineeship: Data Analist,Createment,Eindhoven,3 dagen geleden,2021-03-05,"De data-wereld ligt aan jouw voeten.
Ervaring in data-analyse is niet nodig, wél breng je mee.
Gewoon omdat je hard werkt, IT, online marketing en data gaaf…",€2.500 per maand,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQVpz0dABwcJxPL6ZF89l8aMZ4ujW6gW5aOiSkCGD8kFV8HXpgi727Omxjhihm0EipkcS3-z-sPOCnggwUtodXRHTnFvhTaezc0CL9YbpLO8q7F_4VL8cADy53OexmiVjyGk-BqxjpLnY4l7blENZlG_B-vU3dJLI_tJUKh0shmhbuyuLxjS2aJkMiRPUIBtCS2Nx7iGryNAa-awgIWW3KeSI7ry8571E1hbnFb4R-8gY5Sa8IgCHfjoeOwLJw0tHS_cAY8LYHi5a8zSqXVgOBwxqwQWFpWaahNomk4SlKi_DtimGsgZfAVzg36A4byoNqtDP6lZsuHZDERTjRFF3uaWDJFZEtNpXs2iFcvKF2fJdH7dKxX7oI-mtJYjcOoS7jC1Mg5pWUCeDVCyH5mj_hRcp_X0H0a2vleibbsqd7aSNC3bJe8of7D4bInzG9QKR-BJbpQ4IAnnIcJIBd5sPJZ4Ck5v-npU095SD3fRh_4SsbbPG1Y1RYgOt0gaU3U0ys-LRgGRrOC_nGgLXvgWvJXrhiOBV3sSeB0dNwe_w2nVpNGyUEBThqhkmW8d3TdtblQ9Vf8eGkAFtDd-1j92DAXvh_YLdQb85Nz_6ZDxWadl9xEtBjTQiLzAi9rPbi6xfEBvADoqrCpw==&p=0&fvj=0&vjs=3
1,Data Analist,Aon,Eindhoven,Meer dan 30 dagen geleden,2021-03-05,Data…,,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUr1ih89J8xlxnhfvrvaSPyfeHEUaTmnzB_AydzFDKnIiZ_IebOX6YnjJSMiF7dRLn9puMMVtEjWmhzpOVn_3hDp8cIFVXzTAYKweJColTCEpTwGwYCi6oDI3fy3ehYQTqneslOaS-XtBKDfnTdVm9mo9FQT36Bc8RdHAKnRPoAY4qmRIIrGD1g__ea7fXkHCdTXyVxanHnGQl_-GL3_CQwWpG_qEtyEjoy-jsv8cnXsSU9zDiavAeREclpIkqiOVwNbrR4YGdtGZdd_GSLj4tMYEapkXGBvFzgu6FBn84mlRtT59IMLeX3ligjZEP697HVGwnToX2vr6JdHDKuQmjUSrZ4U2hNpsjRlmMSsXdlRS8zik9y2Ebp-i7MPC_lLdme2MPghR4p9Yi6zJy26lOT3qg2oR9nOtnU_Z036P-IIGptIQ-Hgo3HEfaOaVEEtPSTKqEtTHW79nWahTh2474BTOfloz1VWB0GmH40oCehgtSc-rJJOy3yR-QRzUIk1f6BoRwLhsclZSYloyHoPqXZ676xQqcqWPVRZQgTfrGYztai6tE2ysYSy8NlpAZYOOQTqTMHPJ37Tk2qKK8qhkoOAgkaCMpSq4mPr03Vc84jUHNWPPHTG80ctpuIo0Ksd4=&p=1&fvj=0&vjs=3
2,Data Analist,TreeHouse,Rotterdam,9 dagen geleden,2021-03-05,Dit team is verantwoordelijk voor het verzamelen en waarborgen van de de kwaliteit van onze data en ons als organisatie helpen om deze data inzichtelijk te…,,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbOies5qPN1BgKwdkTD8LtNSbl3vQGA32DWrLLWCjoLzVAWZwBSsl5ZoP9TMWGTon7uEA1ujWF9BV1O6X46CjsgekV17gmvPRwqz2bu8JBySiI6EfE5lT_Yna2NjSbpaF-1hgJ21d6yAUOA97_HZDiFqYs6m_mEKg6jqEZSeC6jfxxRmwVcyFECs0GvpsmpRSStBgBojjsnxH1NlXn3wnvxnYs1nQ5h5NkltDc19LtU8URXkE_m4rRa9AJzMcM1hprCdAFhfLgK66E2FufzkqBjh6JviacnEGRv5RLTkK_ISm-4B6_nv5V6jvBr5kNAxjfNINZSEcQJ7ciwFo3_BUkydw2ZhaRQRxFvsbVfoWG2vwdJU_Fu5ohRXfhjGT7huHdJFhSJ2b5V_53cLQDqjc9KlG6e-gmrYcI36TQtrW1_hZ3MYm91CDQEj-YipO2hkY=&p=2&fvj=1&vjs=3
3,Data Analist,Essent,Den Bosch,23 dagen geleden,2021-03-05,"Ben jij de enthousiaste analist die veel energie krijgt om onze klantbeleving op basis van NPS data te verbeteren?
Een positie waar we trots op zijn.",€3.152 - €4.902 per maand,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQOBUdm9lgaCgkWLItaF_p8-3W8GeSKzFHLrNalKuDYVpbS65g9hCoOmfOuwbfukgAEnpHmvUbRB-sBlm7CmLWfkpW6F6M82gxigMA7ZfkpU72FDXBNQgC1Qfpj6phs6HKSiiUXn5jnTiE-kZICQkM_nnOLhHak4QrRr62t9wZ-c1IkenjTOGLZGDyOEJm1BfRBWt_oo3MTlLaxBBnroEBoV_LITpfmjoOo3sLnONp_p_lzNSxOZnM4VDQnd4ZNwC_9VVLEGtSZRYnnq_wWMHtAB6TXjFbDE0n8_YSVpB72e10kOH-sodG1rQXhhiZ9jjt36-zOJbtTgRwubnUhTTrGrIF8To1N3wTXtlRk1hcdodiKGxtNedkA1nkpSrMLflVwcDc5qjwVEU_PcntrWFKrNsxubxZnlxJOdVdf7CQ2c-H3GVi3ddQ-lLYZg0o7TbnExrwgtVYZYW46w6_dLYFzFk5rm7TkUKN-Ul18_9ObtF6rJf7yrZN80jCU4gR4X42Z_EEkE_EWt2dVCg2OtgJe37OVodlWDAnN78NK4phCkvWvxtyTH5DuhYK_9AWbCzZ952-2I4rtsYAJ1xY8QAnU9faC_-xCGjv8zvTNyTVS5yB801hMN25VD0_Xsig1ykA_dhtrfrCiA==&p=3&fvj=0&vjs=3
4,Data Analist Sociale Zekerheid,Aon,Rotterdam,Meer dan 30 dagen geleden,2021-03-05,Data Analist Sociale…,€2.900 - €4.500 per maand,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUr1ih89J8xlxnhfvrvaSPyfeHEUaTmnzB_AydzFDKnIiZ_IebOX6YqBg3HhWjqsvLYdBMllfluWYNSinSxvVzZuTqC-wIeneBQv7gsmOlldH-883T2mDzowXLByP9ZO5WzCurSNNqTF8WDshFfeqF1i8nKLJ1Cc_mGDzywzMIece5j8SQ2K632ie1GhDISnzmB7WkT729VQ4Hna7nCHv_equ7qPlouHj04Lc_h0o__8uQ7FBc5y6-7-kGvVDaSP_lfpuEZgV2uqaLkB1ConZELcTiF-y6UK4rgIs_4XDv_pMxNoDG1nPfmRb-0hHF3P0va4J2RtEuXVLyPHFRzN4EMcuW9Z8KV-5iZlZiLDR2QBKV9gEpAJ9GyE7ALqu7vlO231LSNLuFlUssLyE5U73uQp0eQzShet32OrkvfyRXbvId-u5a8a6M1K5pQFiuVsxBebFInceyOVy1l2fcVu00t8pyNsVj0_mPB2rOMLG5xCkTCscdMLt4Du8YE7gkVJ4PPSjW-rSrKvrY5eT1a1uFKlcmK6XAhjIwuw1mLZc-q2OP7cswy_ZrzLaYhrmkHg5eBb3-AULJsb_32oij-YnfBWCLsPZQLLFachJR-JvToUOEJvreTWxL&p=4&fvj=0&vjs=3
5,CRO / Marketing Data Analist,Rotom Nederland B.V.,Best,7 dagen geleden,2021-03-05,"Als CRO / marketing data analist word je onderdeel van een jong en dynamisch team met daarin drie directe collega’s en een teamleider.
Wat vragen wij van jou?*.",,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AIc4BrRAsVe3RSkDVo-za-HAUPmuCgbStg4LwmkcnEQuxc0c8N1QliRrvUKzd4uoUP_9J0MKqhNps4aw9hdJHMqIILiwlr4uaq411JxNW3oG6S78tSXVYjet66dER4tlfYTu9iYWPfsgTAwrDOC7_LoNzCs_FakuJ0qTikxGZF3UiS7Y_MLr4oaa-ca7WuzRHDpq10mBPwaj6J7KfoUkZ-8q9PXzMSUMDyho9JNV3HroZFVNNGMQaAwWdgABE5-gQkQOocK6HK8yO4TS5JLxEv_LzxNa3QvVR_HJ4PTRJHJeMEUwxp89z4c3pxc7nPEVqTJydrvnP5oVAf6-f1doUTtDJ9q4tcbdDNLl3VY15m_Kit-b9gQvCVIIl5eFfxXGAGy9mKT1weTV8uIhEb23-uK7X0g-ndAS7Gnqgl1YWwWtpGcYB-lBvyX-g7YFCDi6ykDQ5b1By3BQ9XDRsWZQf0&p=5&fvj=1&vjs=3
6,Data Analist,Enexis,Den Bosch,9 dagen geleden,2021-03-05,"MI bestaat momenteel uit een data analist, web analist, marktonderzoeker en een senior marketing intelligence medewerker.
Ervaring met web analyse is een pré.",€3.404 - €4.863 per maand,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Anhk1jJoJlLLH4x9OTW8szen6xJ4VD6sIavLZrBTsL2Dzxavgw6cdIBayY9YzcYeN89FiyY3nWsNBRV3DpG3MBoaUmZddpcQi6yjBc_t_a5WJq9O9mRQ-_qUfhBi8a7EYXt059zcaJpzlTwFQpn_VcX2DMC9Sb1CVzfP9d3D9skXp95EEXOAK8dXIHjHZ2-ujKPwL2H4cbCBKOuWtkv3K5AQ9sI-hS_ypskjKylGARxu0jbPW3Rm6aSaGxxHHfQrnbGkcA2taMBHuqcYRg-q7xOsV_KKf872YQvzfTdkybFLFYObZztriEw5YZDJI_--t4A3msnGvU8znUWHcxq9CGt-7E30eu-HM6GHd5Y5YWJuQ3loY_DsI4qNlQ7N6-_ZkjrBCnd4ORbiYpfbpp8KrwSd3k60cFxtWkES7_gut5xCTeBhtrk1wh7DN9u3cy_OgujodPDpnZbX_gTzkpWIC5oSAScWrXJG5lrk0KVKLvGjby17Z3QVHPS5lsnklRQ7KEER2bpqj3-V5sC7LWKMEdDEjtblV8HR7tGBxTz-kpR2SsPuCNS1MWWStTo4TLKM4Gxb5_Y-aFmQzMoKY4vGV8dhctAVjv3-VZ6uBa_L7_Itf2FJbHc5uLON-CqCzKFaX2kVvdlo6VzifyB8oq1211iJC07O5EYLVutEPpTMHdT-idniZrYvqRyfSFQC2-XwEKm3uC35S6KAZNCzHst2DRDOs6Cj21f4GTX-QHqFSz-pMaDFxJe34gg9J4SOLc8NVRrv4KTusYMoWxse4hXcoj_C1hhb-Oh4t3j0LGkcFzen2-8C1JwACrfNfmrzOGNDXoTfTIEpt4Y79dsiZ1_5H0wWvABi-zd1nELQifi8sFV-7ELKEzVLvnFA1nFPutZyuqH-AYxo39Ma3WR1be4VCboBFAQrqGJyCpRThOprEZh9-oON0wCxOGmN6NP94b97jvQKhPaFa-Afj1qlfWZYGa4C5aQL79hQATrv7-oxS9tN7sBs2rYYVRaoDNVGzE3Fi9XQTzNmDz-uKfHeYgRjLa9oqV7YuHZBpNgN8NzOYeVHyyJXk7Dl3m&p=6&fvj=0&vjs=3
7,Senior Business Analist,De Wever,Tilburg,Meer dan 30 dagen geleden,2021-03-05,"Je neemt een initiërende rol in het opstellen en uitvoeren van de data- en informatiestrategie.
Als Senior Business Analist analyseer je de impact van nieuwe …",€3.557 - €4.744 per maand,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AtaeNKxVTkAha_7T0xi11zZbMDGPH5fpbvSOTf1yxiDdgD61DH9iSMqvgzZfhGwPOm65-cdYQSAoATE7DzV5m8Gf_zfU6bpQxwltdeXcwFiUDVqGbBw6zUnue5nZt95OlVenql-R2EUZw0cesKtYFjjDVF-_Nr6Q2keDiwrB1NfS2tWYkqxxJjWQPNzlUfAzVhyJCRxiE46iTok8XrQeAH305JNSwRPiM4rrXbaUoT4fLrw_CdT0CtgwX1hayPZhYeD3kr3HTbRLdZbyj7ZdmK4nN7fmrVbVcYQh-yfv33FajOooE63fLTIOwFAXzboGm8Ye_d2i5_HK33qR2ZGEphMxpNQEsyz_HWvlgtrEjkYueOVPRCsYvgrJTO2mKxytYs3J2hq9JxHnO9IKxnyqiIXZY0aVW-uKe6LUExzTnmycAf2EZDZlt5voBjGDJjnGOyL3xVGK2Yhia583mXFbom&p=7&fvj=1&vjs=3
8,Data Analist,Shoeby,Rosmalen,9 dagen geleden,2021-03-05,"Jezelf blijven ontwikkelen binnen jouw vakgebied als data analist vind je belangrijk.
2-3 jaar ervaring als data analist binnen een commerciële omgeving;",,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BFnuepSSMTg12-smkzjRqjHJkb_qFMzDGKJBpjwM66X2lghSBR4UOmAzfZhapdHpQ03gkr7_g5Df5nGGWwwvDbx_eGIu9sFzzKaCR7g3HlfCPwp9jULx13w6CvQMd2qZGJRWO5Ac__CTIUHZu7Sv5rQknnAEi-HeUfY7L6zZrevDoyGA241buX4v0bK74vVmhwgQDcCcjRFjYR_gBqEf4XV5D2aFV2R-4DIQ9cR9wVbej1MRzf3f5lHzXhwyNV5zUwe7R1nUHhAMa6zj7O241JKx-kBgXU0DkUo05sYjmUo1naOobVU2Xh1P-z2RdjRxUUiqqsy77LyLbqqacZSFCbeqavgCp1sOcFRGxzfbfYA_-0ya1FwQNasQTMw8ciMFSzSQScUtkeW4Cgpd6ySKOip09RqTThxZxTxdN1F30u-AZ0Rgf65OPDdCYfmyqSfcaiAxesm2Rd_gklCcpkos9zk6DWpK86vLJRHGsTO_dOCxtCynXZnfiopwo9Jdhi45RszYx8R0dd5jj1Ap_SRj6X-ChEk61D7HplncWuzJQfEtz-Bn93FK2sNfP5bewq_oQAEj65Af68UgnKy7ZYqykAiazBH4rnPpofadELpw67zY78tpq6_89KpMGLmJXmSdmXn2zyo2YWJiyA6SoHLwVsxu9KxzKRKu6BE5lPnc53CeahFW_F_REnY_3AJqbYuH7fr0_UK_IgbAZoL4q-ZRiy&p=8&fvj=0&vjs=3
9,(Junior) Data Analist 36-40 hours per week,BouwKennis,Werk van thuis,13 dagen geleden,2021-03-05,"You visualize data and information.
You help develop intelligent/advanced ways of (automatically) analyzing data.
A typical day at the (home) office:",,https://nl.indeed.com/rc/clk?jk=fea9b49357181e96&fccid=a8eff02f7b97406b&vjs=3
