id,description,scrapetimesdescription
12da83de0be18aa8,"purpose citizenM is a global lifestyle hotel company involved in the full spectrum of the customer journey: from sourcing a potential reservation, to checking in and staying in the hotel, to the design and development of our hotels. This degree of vertical integration is unique in the industry. This gives us an incredibly rich dataset to collect, transform, and analyze in order to improve the effectiveness of the operating model and therefore guest experience. Much of this data is combined in citizenM’s data platform. As a data engineer you will have the opportunity to work citizenM’s rich data sources and bring those together in the data platform, where it will be prepared for consumption by the Business Intelligence Team and analysts across the company. This role is part of the Business Intelligence Team, where you will be working with a team of data scientists and analysts to further develop the existing platform. citizenM’s Business Intelligence team is working with all disciplines within citizenM to provide insights and analytics. Due to the nature of the role there will be close collaboration with our friends from the Tech team. key responsibilities Build and maintain scalable data pipelines for (mainly) batch processing in our Azure cloud environment; Work closely with the team’s data scientists and analysts to develop citizenM analytical infrastructure in sync with the analytical roadmap; Apply dimensional modeling to design tables and views that map business processes into an enterprise data model; Support, propose and implement enhancements to citizenM’s data architecture; Monitoring the performance of the data platform and performing incident management, to warrant consistent data completeness and quality; Optimize the database architecture by balancing low operational costs with high performance; Build and support a complex ETL infrastructure to deliver clean and reliable data to the organization; Support the development of new products and services via ingestion, processing, and transforming data for reporting and analytics; Support company-wide data initiatives, including the onboarding of new systems or platforms such as citizenM’s customer data platform; Proactively automate manual processes throughout the business for higher efficiency, robustness, and speed; Enforce production standards and governance best practices in the management of enterprise-level data, metrics, and (data quality) reports Basic knowledge of networking, firewalls and Azure security & authorisation concepts Develop citizenM’s (relational) data models so that they are optimally geared towards analytical use; Use DevOps best practices such as continuous integration, continuous delivery in the production implementation; Azure Devops knowledge is a plus; Work with business stakeholders (incl domain experts, system specialists or vendors) to onboard relevant new data or update existing sources; Prepare documentation (incl ERDs and relevant flow visuals) of the systems onboarded to citizenM’s data platform; Keep track of the latest developments in the field of expertise, including a good understanding of Microsoft’s Azure data services development roadmap to advise the team on (new) solutions and stimulate innovation qualifications / skills a genuine passion for data and the ability to combine strong data engineering and technical skills with business knowledge; a bachelor (masters preferred) degree, preferably in the field of data engineering, computer science, information technology or data science Ability to translate complex problems clearly and in nontechnical terms Advanced SQL knowledge, basic knowledge of Python at development level and affinity with Python/R as data science toolkits Demonstrated strength in data modeling, ETL development, MLOps, data warehousing, data pipeline and data lake creation, preferably in the Azure data stack (Azure certifications would be considered a plus) Knowledge of various data communication protocols (e.g. REST API, Websockets Ability to succeed in both collaborative and independent work environments Excellence in planning and execution Proven experience with repositories and version controlling Experience with an agile way of working locations / hours Voorschoten Support office. This is a full-time position. citizenM is an affordable luxury hotel chain for mobile citizens of the world. With style that will knock your socks off, we offer citizens a real home from home, plus the world’s fluffiest pillows. Our typical guest is a frequent traveler who is quality and design driven, and value conscious. We currently have hotels in the Netherlands, France, UK, Switzerland, Denmark, USA and Asia, with more to come soon. We are proud to put hospitality back into the hospitality industry, and have received numerous awards for our groundbreaking approach. We like to do things differently. This means our hotels are not traditional… and neither are our support offices. We're open-minded, with kind hearts and global minds. citizenM loves diversity. We are an equal opportunity employer and welcome applications from anyone. #MS",2021-03-17 17:59:45
533d0cb2d71ff51a,"Location : Mol (Belgium) You will be member of a team that focuses on supply chain optimization. The team provides supply chain decision support as a service towards public and private clients, via research projects as well as commercial consultancy. To support this activity the team developed MooV, our proprietary linear programming optimization model. More on: https://moov.vito.be/en. As operations research developer you will extend, improve and apply MooV in close collaboration with our fellow senior developer. You translate client supply chain optimization requirements into mathematical logics. You program these logics into the MooV model tailoring it to meet the client’s requirements. You test and validate the model’s results in relation to the client’s requirements. You report the results in a (non-technical) decision support format. Our team is embedded in VITO which holds the vision to accelerate the transition to a more sustainable world. As a MooV team we believe supply chain optimization is an essential part to make that happen. Interested? Check below if you match the profile that we are looking for this position. QUALIFICATION You have a Master in a mathematical, scientific or engineering field with focus on operations research algorithms. Holding a PhD in this field is preferred. You have expertise in linear programming. Preferably in network and supply chain analysis. Having GIS expertise is an asset. You have knowledge of related mathematical optimization techniques and heuristics. You have strong and creative mathematical problem-solving capabilities. You can bring theoretical content and results to a client-friendly communication level. You can work autonomously supported by a team. You are fluent in Dutch and English OFFER A temporary contract with duration of 1 year with a possibility for prolongation. A competitive salary and a range of benefits including allowances, insurances, adjustable holiday package and flexible working hours. Innovation is our core asset, therefore it goes without saying that we give our employees the opportunity to undertake additional training and keep up to date in their field of expertise. The chance to be part of an organization with an international reputation, known for its advanced technological research and scientific consultancy. The possibility to actively contribute towards sustainable developments at local, national and global level. REQUISITION Location: Mol Jobfield: R&D & Engineering Job Types: Full-time, Permanent",2021-03-17 17:59:48
06cc8b143d1bde37,"Data scientist Are you interested in digital world of agriculture? Do you want to contribute to the development of sustainable farming systems through digital & data driven solutions? Are you innovative, a team player who is enthusiastic? Do you have a “yes, I can” DNA? Then Agrifirm is looking for you! Function Agrifirm is looking for a full-time (40-hour) data scientist with specialist with applied data base insights & experience. As a Data Scientist you will contribute to the development & implementation of digital solutions. You will work on different levels in strong connection with the Product Owner and Research and you will also be the bridge between the product team and the data science department. You will be working in a multi-disciplinary team in a network organization with limited hierarchy and room for developmemt. Tasks and responsibilities: Responsible for defining and setup of (joint) research and implementation projects, according to RAG/arable strategy. Acting as a project leader or contributes to (joint) research and development projects. Active networking and connecting RAG/Arable with external institutions for knowledge gathering and development of future oriented added value concepts. Profile Experience in working in a business environment. In possession of an MSc Degree mathematics, econometrics or similar You do not mind travelling. You speak English fluently. Minimum 4 years’ experience in the field of soil science. Knowledge of Soil Science and experience in data handling and modeling. Experience in working with R, Pyhton and DataBricks Competences You have strong communication skills and like to network.. You are a team player, are enthusiastic and know how to take ownership. Project management is something you are good at. You are market oriented and know how to make and create impact. What can you expect from us? A challenging full-time job within an enthusiastic and committed team where cooperation and results come first. As a colleague at Agrifirm you will receive the following: An extensive introduction program A good salary Approx. 36 free days (23 holidays & 13 ATV based on a full-time job) Laptop and an iPhone Good secondary employment conditions Extensive development opportunities through our Agrifirm Academy Royal Agrifirm Group Agrifirm's vision is to work every day on a responsible food chain for future generations. We want to ensure that we can continue to offer affordable, healthy and sustainable food to everyone. Agrifirm therefore supplies high-quality products such as animal feed, products for the cultivation of crops and professional advice. Agrifirm was founded in the Netherlands about 120 years ago and is now a leading agricultural cooperative with an international network of subsidiaries located in 16 countries in Europe, South America and Asia and a worldwide distribution network. The head office is located in Apeldoorn and with more than 3,000 committed employees, Agrifirm works every day on a healthy future for farmers and society. Are you our new colleague who knows how to make a difference? Then a great career lies ahead for you at Agrifirm! For more information, please contact Dennis van Straaten, Talent Sourcer, on +316- 27 89 35 32.  You can apply through our website or other portals; please use the application button. You can send your reaction (CV and motivation) to Dennis van Straaten. Acquisition in response to this vacancy is not appreciated. Although we appreciate the support, Agrifirm does not accept unasked CVs from recruitment agencies. All CVs submitted to Agrifirm by e-mail, internet or directly, without a valid written agreement between Agrifirm and the recruitment agencies, are considered the property of Agrifirm. No fees are paid if the applicable candidate is hired by Agrifirm. An assesment is part of the procedure. Waarom werken bij Agrifirm? Bij Royal Agrifirm Group zijn we gepassioneerd door landbouw. We willen het verschil maken, zorgen voor de toekomst en ambitieuze doelen halen. Samen kunnen we de beste zijn en wereldwijd relevante impact creëren. Bij Agrifirm werk je mee aan een verantwoorde voedselketen voor de toekomstige generaties.",2021-03-17 17:59:50
7cec75e3ed205ba1,"The Senior Data Engineer is a core member of the team responsible for providing solutions to digital age data challenges through design and implementation of an ecosystem of Cloud solutions to support AI, Machine Learning and other modern data technologies. This role will be responsible for designing, developing, optimizing, standardizing data engineering pipelines along with creating robust data models for data publishing while complying with, and adding value to, the data architecture. The Data Engineer will also be responsible for guiding the existing data engineering team and developing cloud-native solutions with low time to market by leveraging DevOps methodologies. This individual will evangelize and implement the modern practices in data engineering that address scale and are essential for digital transformation through high value driven projects. Roles & Responsibilities  Work closely with data scientists, platform engineers, data architects, and data source owners to deliver foundational data sets, enabling analytics solutions driving successful business outcomes. Provide leadership in designing and implementing best practices for efficient sourcing and processing large data sets from Analytics data stores. Build real-time, reliable, scalable, high-performing, distributed, fault tolerant systems. Design and develop code, scripts and data pipelines that leverage structured and unstructured data. Implement measures to address data privacy, security, compliance and ensure robust data governance. Industrializing data lakes or real-time platforms for an enterprise enabling business applications and usage at scale Monitor, maintain and optimize production systems. Investigate and resolve incidents reported by users. Identify opportunities to automate, consolidate and simplify platform. Work with Enterprise Architecture, Digital, and other IT teams to develop and maintain data integrity, integration and governance standards. Contribute to the selection of platforms, data management, libraries, tool chain and OSS for software development. Stay on top of evolving technology to suggest and prototype and implement improvements to the data architecture. Collaborate with cross-functional teams to help utilize and drive adoption of new big data tools / models. Guide business stakeholder and mentor members of the data and analytics teams regarding technology and best practices. Manage assigned activities within time, cost and technical objectives. May manage small projects with internal or external resources. Min. Qualifications  Bachelor's degree required 10+ years hands-on experience in architecting, developing, and successfully operationalizing complex/large scale data management projects At least 5+ years of data warehouse and ETL design and development using SQL on RDBMS and MPP databases Experience in big data development on Hadoop or Spark frameworks using Python, Java, noSQL, TimeSeries DBs, HDFS Experience in development on Cloud (PaaS) Data Solutions, Azure preferred  Preferred Qualifications  Degree in Computer Science, Engineering, Technical Science or related disciplines, preferred. Experience building data management (metadata, lineage, tracking etc.) and governance solutions for modern data platforms Experience securing Cloud based modern data platforms Experience working with LAMBDA architecture using real-time Kafka ingestion and high-volume batch loads Understanding of statistics and mathematical techniques to solve real business problems. Experience of working with models in SAP HANA, manufacturing historians, various IoT, subscription and public data sources. Experience of ETL tools such as SAP BusinessObjects Data Services. Experience of Reporting and Analytics tools such as Tableau, Power BI, and Alteryx Functional experience in one of more business functions. Experience with global enterprise environment or major consulting firm is a plus. Interested ?  Please feel free to connect with Ton Brands, Corporate recruiter ton.brands @ lyondellbasell.com for more details. Would you like to apply? Just send us your motivation and resume via the application button  #LI-TB1",2021-03-17 17:59:52
8a5f4a927ca95120,"Tasks and Responsibilities Coordination of all aspects of the science for payloads, missions and systems for which science benefits are intended, including: Establishing and supporting a user community, engaging them in science definition activities and preparing the establishment of a formal Science Team Generating science and research objectives and requirements; supporting the Project Manager / Technical Officer in establishing a technical baseline and system requirements that address the science and research requirements; iterating the requirements during studies; assessing the technical baseline and performance against the science requirements in reviews Preparing the Science Management Plan Leading or supporting research activities that support the development of missions and system concepts and requirements Preparing and coordinating Announcements of Opportunity, Peer Reviews and Selection processes for Experiments, Science Teams, and Projects Ensuring that scientific data is made available to the community and supporting its utilisation Initiating and supporting research activities that aid design and implementation. Additional activities: Supporting the formulation of new research activities and concepts within ESA and with Topical Teams and other external scientific groups Recording and tracking actions and requirements for activities in the team Support the planning and coordination of interactions between members of the team Supporting the benefit management, performance tracking and reporting processes of the HRE directorate. Qualifications and Experience A PhD in Mars atmosphere, geology, geophysics, or relevant scientific domain Professional experience in fundamental or applied research, in planetary science (Mars) or space resources utilisation processes Demonstrated experience in coordination of scientific activities Experience and/or familiarity with current ground and space research platforms, research and operations. The successful candidate will have the following skills A proactive approach, with initiative and ability to work independently Ability to: Synthesise, summarise and draw conclusions Adhere to strict standards of confidentiality Work in distributed international teams Strength to cope with schedules and deadlines Excellent organisational and communication skills and attention to details Excellent written and spoken English. What Do We Offer? Working at a prestigious Customer location, in a growing company with Staff located in Belgium, Germany and the Netherlands A professional, pleasant atmosphere with motivated and passionate Staff, where autonomy and initiatives are encouraged An interesting remuneration package with a relocation allowance, if applicable A full-time position with an indefinite contract of employment. How To Apply? Please apply to this Job Advert by sending your CV and Motivation Letter (both in English) via our website (www.spaceapplications.com), to the attention of Mr. Olivier Lamborelle. Applications received through the Career page of our website are reviewed in priority.  The candidate shall be eligible to work in the European Union or in possession of a European Blue Card for two or more years. We are looking for someone to start as of 19th April 2021.  Image Credit: ESA/DLR/FU Berlin",2021-03-17 17:59:54
53812d3a81b3bab9,"Independer wil het beste aanbod in vaste lasten voor elke klant. Door zelf passende (verzekerings-) producten te ontwikkelen kunnen we nog beter aansluiten op wat onze klanten nodig hebben. Ben jij de Data Scientist Pricing die ons helpt productontwikkeling een boost te geven?  Wat ga je doen als Freelance Data Scientist Pricing? Bij Independer helpen we onze klanten met het zelf regelen van hun financiële zaken. We bieden overzicht, kennis en slimme tools. Zo kunnen klanten zelf een deskundige keuze maken. En waar we al een groot assortiment aan producten aanbieden, willen we dit assortiment nog steeds laten groeien. En dat is precies waar we jouw hulp bij kunnen gebruiken. Want aan het eind van de opdracht staat er een goede werkwijze/ raamwerk om sneller en beter nieuwe producten te ontwikkelen. Dit doe je als onderdeel van zowel het Productontwikkeling als het Data Science team. Een mooie combinatie van zowel de business kant als de data science & machine learning technieken. Concreet ga je aan de slag met: Verzamelen, prepareren en interpreteren van de beschikbare data. Ontwikkelen van modellen die de schaderisico's zo goed mogelijk kunnen voorspellen. Bepalen van rekenregels door statistische technieken zoals machine learning. Actief delen van de resultaten met de belangrijkste stakeholders. Oftewel, met jouw kennis & ervaring breng je de ontwikkeling van nieuwe verzekeringsproducten in een versnelling. Waarom juist Independer? Waar corona natuurlijk een beetje roet in het eten gooit qua werken op kantoor, durven wij nog steeds te zeggen dat je terecht komt bij een gezellige en hechte club mensen. Professionals die echt het beste willen voor de klant en gedreven zijn in hun specialisme. En waar jij je eigen opdracht hebt als Freelancer sta je er zeker niet alleen voor. Het leuke aan de opdracht, is dat je met dit project absoluut impact gaat maken op de organisatie. We bieden een grote diversiteit aan data en daarmee een uitdagende omgeving om in te werken. We loggen veel en goed. Wat maakt dat we alle data in huis hebben om hier het verschil mee te maken. Toch zijn we zelf nog lang niet klaar met onze ontwikkeling als data specialisten. En we zijn dan ook benieuwd naar jouw tips & tricks.  Je bent per direct beschikbaar voor 2-3 dagen per week. En dat voor een project van 4 maanden. Verder letten wij op het volgende: Je hebt bij voorkeur 3+ jaar relevante werkervaring specifiek met het onderdeel Pricing. Business kennis van het verzekeringsdomein. Ruime ervaring met programmeren in Python en SQL. R is een pré. Je hebt aantoonbare ervaring met het verantwoord toepassen van Data Science methoden en statistische technieken. Vlotte sociale- en communicatieve vaardigheden, zodat je je inzichten en oplossingen helder kunt overbrengen. Je begrijpt en beheerst de Nederlandse taal. De pictogrammen hieronder gelden voor een groot deel ook voor deze opdracht. En met vragen kun je altijd bij onze recruiter (Janne Koel) terecht.",2021-03-17 17:59:56
d6709cd3409099a5,"De strijd aangaan met complexe problemen? Daar hou jij wel van. Je hebt oog voor detail, een enorme passie voor data, werkt graag samen met anderen en kunt makkelijk technische vereisten in duidelijke taal overbrengen.  Naar vacatureoverzicht Data Scientist Zet in favorieten Deel deze vacature Zet in favorieten Deel deze vacature Insights and data | Banken en Kapitaalmarkten, Verzekeringen, Utilities, Publieke sector, Aerospace en Defensie, Automotive, Consumer Products en Retail, Electronics en High Tech, Gezondheidszorg en Life Sciences, Manufacturing en Industrial Products, Media & Entertainment, Natural Resources, Telecom, Transport & Distributie | Full time Jouw uitdaging Met jouw inzicht in cijfers, data en techniek leg je elke complexiteit simpel uit aan de klant. Aan de ene kant zit je in het technische deel van het team waar je de problemen begrijpt en oplost via de juist gekozen methode. Denk bijvoorbeeld aan regressies en decision trees en het gebruik van machine learning met open sources als Python of R. Aan de andere kant zit je op de zachte kant, waarbij je de bevindingen begrijpelijk presenteert en de klant meeneemt in de oplossingen. Klanttevredenheid is belangrijk voor je, dus je luistert goed en geeft inzichtelijke antwoorden die de klant het vertrouwen geeft dat het probleem wordt opgelost. Een greep uit de werkzaamheden die hierbij komen kijken: Ontwikkelen van (technische) data science oplossingen welke waarde toevoegen voor de business; Nieuwe initiatieven kunnen identificeren (solutioning) op basis van organisatorische processen Modellen naar productie kunnen brengen (dus niet alleen maar experimenteren met data science) – AI/ML-OPS Kunnen aansturen van een team van Data Scientists op basis van inhoudelijke expertise Wat jij ons brengt? WO-opleiding afgerond in richting van; IT, Computer Sciences, Engineering of vergelijkbaar; Minimaal 4 jaar ervaring als Data Scientist; Kennis van de theorie en applicatie van statistische en machine learning modellen; Uitstekende beheersing van Python en R, aangevuld met andere relevante data science tools/technieken; Aantoonbare ervaring en pro activiteit in kennisoverdracht, ontwikkeling van de community en trainingen; Je hebt ervaring met werken in Agile/Scrum teams; Je beheerst de Nederlandse én Engelse taal vloeiend. Wat wij jou bieden? Onze Global Insights & Data-organisatie maakt deel uit van leiders in de volgende generatie data-oplossingen. Samen met ons wereldwijde ecosysteem van technologiepartners ontwerpen en implementeren we state-of-the-art oplossingen om waarde te genereren uit een steeds meer datagedreven wereld en daarmee onze klanten te helpen de exponentieel groeiende enorme hoeveelheid data te beheersen en te verkennen. Daarbij heerst er binnen Capgemini een open sfeer waarbij iedereen bereid is elkaar te helpen. Je werkt voor grote (internationale) organisaties en aan de meest uitlopende projecten. Naast hard werken en inhoudelijke kennissessies, kun je natuurlijk ook rekenen op maandelijkse borrels en gezellige lunches met collega’s. Wat kun je nog meer verwachten? Direct een vast contract met een passend salaris; Een premievrij pensioen waarbij je de mogelijkheid om zelf ook bij te dragen; Een vergoeding voor je reiskosten. Deze kun je bijvoorbeeld gebruiken voor een leaseauto, NS business card of beide; 26 vakantiedagen en vakantiegeld; Een laptop en simkaart zodat je overal kunt werken.",2021-03-17 17:59:58
9bfae6b8358b8113,"What will your job be As an Associate Scientist Data Engineer you will support multiple projects moving into late stage by means of (historical) data analysis. Furthermore, you will increase data-integrity by performing additional reviews. You will be primarily responsible for designing, implementing, and maintaining automation systems that support process development activities The automation systems in scope include but are not limited to GxP excel VBA-enabled spreadsheets, Python Dash, several types of Graphical User Interfaces, AWS S3 cloud environment, Microsoft SQL Server, web-based dashboard applications, and Spotfire dashboards In addition, activities related to data extraction via SQL are in scope. You will also be responsible for data verification and translating these data into reportable formats as well as historical data mining You will be involved in the development and improvement of data management systems The results of your work will be directly used for regulatory submissions What are we looking for For the position of Associate Scientist Data Engineer we are looking for a motivated candidate within the field of Process development who has strong affinity with data management and analysis.  MSc in a relevant discipline in biopharmaceutical/biomedical sciences / biochemical engineering / biotechnology / bioinformatics Programming skills and knowledge in Python, SQL, and Visual Basic are required. Specifically in a data-automation context 1-2 years of experience in process development (lab/production/biotechnology) is required Experience working with unstructured data originating from several sources to produce analysis-ready datasets Familiarity with R, Spotfire, or Tableau are considered to be an important advantage Strong affinity for data engineering, data(base) management, and data analysis Experience with production, technology transfer, and knowledge of GMP is an advantage What do we offer Long-term position starting with a contract for 6 months via CheckMark Labrecruitment Salary indication from €2600 gross per month based on a full-time position Full-time position (40 hours/week) Where will you work Pharmaceutical company specialised in the development of vaccines. The Drug Substance Development group develops & characterizes processes for purifying and formulating recombinant viruses from harvest as a vaccine production platform. They will be implemented in a GMP pilot plant facility for the production of clinical trial material and scaled-up for commercial production. More information Sebastiaan Loriaux 088 00 211 26 sebastiaan@checkmark.nl Jurjen Wilschut 088 00 211 22 jurjen@checkmark.nl Ref.nr: 6983",2021-03-17 18:00:00
af8014834f1d9420,"As an AI Scientist you will work in a top tier team of AI experts, solving real-life cases using latest ML techniques. You are expected to build innovative AI solutions that together with engineers and system developers can be deployed as real-time solutions to provide customer value. We’d love to hear from you. | YOUR CHALLENGES? In this position you'll closely collaborate with an engineering team to bring models into toolkits, and business developers to impress the client. As a AI Scientists you’re expected to have strong publications or projects showing clear evidence of high-quality research and innovation in fields directly related to AI and proven experience and ability to implement high-performance AI solutions. As an AI scientist, you will: Analyze data to discover patterns, find opportunities, and develop and apply innovative ML algorithms. Validate new or improved models via statistically relevant experiments. Work closely with AI engineers to build scalable prototypes for testing, and integrate successful models and algorithms in production systems. Support in identifying opportunities in creating customer value with ML. Advance exploratory research projects in ML and related fields to create highly innovative customer experiences. Technically lead and mentor AI Interns and Fellows. | WHAT DO WE EXPECT FROM YOU? The candidate with computer science related Masters/PhD should have extensive knowledge, deep insights, and experience in the field of artificial intelligence, including traditional machine learning, deep learning and semantic reasoning. For this position we are specifically looking for a candidate with proven track record (3-8 years of experience) and interest in the field of natural language processing, ontologies, knowledge graphs, information extraction, text generation, and hands-on experience with tools such as Python, Keras, Pytorch, TensorFlow. In addition, the candidate should have an interest in, and ideally also experience with, translating new machine learning and AI technologies. Someone with a medical/bioinformatics background is preferred. | WHAT CAN YOU EXPECT FROM TMC? TMC is an international high-tech consultancy company that brings expertise to their clients in order to support them with the realization of their technological challenges. As such, TMC is operating as an expert center at the disposition of its clients and we help them to be more competitive in an ever more global and faster changing technological world. At TMC we believe that people are the driving force behind technological innovation. That is why we want to create the best possible conditions for tech talents to thrive in. We offer you a challenging and stimulating work environment in which you can be the director of your own career. As an Employeneur you are part of our TMC family. Next to our outstanding technical expertise, fun and engagement are meaningful parts of our culture. | WHAT DOES OUR BUSINESS CELL HAVE TO OFFER? We have a highly specialized and varied team. This provides a lot of expertise and knowledge that you can learn a lot from. With our strong network and your personal ambition, we will ensure a wonderful career together. | WHY CHOOSE FOR EMPLOYENEURSHIP? We are truly unique thanks to our Employeneurship model which is a true innovation for the High Technology consulting business. It is the business relationship of the 21th century for high skilled technical professionals. It is built around 5 main pillars: You will have a permanent employment contract, offering you stability and security You will get to know your market value and have a share in the profit your work generates thanks to the individual profit sharing We will support you with a one-on-one coaching and trainings designed to help you develop your entrepreneurial skills The competence cells structure, provides you with a strong meaningful and relevant network The entrepreneurial lab: a playground for new ideas and a potential launching for start-ups TMC is an equal opportunity employer and values diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.  Is TMC a perfect fit for you? We’d love to hear from you. Feel Free to Contact Marnix Bosch Business Manager Data Science, Netherlands Tel: +31 (0)6 15 57 86 19",2021-03-17 18:00:02
565c4e0c14611328,"QUALIFICATIONS MSc or PhD degree in the field of Computer Science, Machine Learning, Applied Statistics, Econometrics, Mathematics 2+ years of working experience in statistical modelling and/or machine learning 2+ years of technical experience in predictive analytics, machine learning, optimization, and fluent in a number of the following technologies: R, Python, SQL, MATLAB, SAS, Java, Spark, Scala, AWS, Tableau Experience in applying data science methods to business problems Ability to explain complex analytical concepts to people from other fields Strong presentation and communication skills Business level fluency in English is mandatory, Dutch language skills is an asset Willingness to travel up to 80% of time to the client's site WHO YOU'LL WORK WITH You will be based in Amsterdam and will be part of the McKinsey Analytics Europe team, serving clients mostly from Western Europe but also globally. McKinsey Analytics works together with clients to build analytics-driven organizations. We combine the latest techniques with deep industry, functional, and analytics expertise to help clients capture the most value from data. WHAT YOU'LL DO You will apply data science methods to improve and optimize our clients performance needs, capture meaningful insights from data and turn them into competitive advantages. You will drive the creation of statistical models to solve specific operational problems. These problems may include: How can we predict equipment failure to do proactive maintenance for wind turbines? How can we use machine learning to predict consumer behavior? In solving these problems, you will have access to proprietary feature engineering AI and teams of world-leading experts in the domain you are working on. You will be in the room, often with the senior management, working side by side with talented data scientists from leading client organizations both on technical issues and on making the change happen.",2021-03-17 18:00:04
