id,description,scrapetimesdescription
c3121124c8d21b5b,"To continue LeasePlan's success story in the fast-moving automotive industry, we are actively building our digital presence to create the ""future of digital"" in the mobility industry, and to achieve our vision of ""any car, anywhere, anytime"". To strengthen our team, we are looking for a Senior Project Manager responsible for managing the new ITSM solution to deliver the ITIL processes needed to deliver IT services throughout LeasePlan globally and responsible for the successful delivery of the project within defined time, quality and budget. Who are you? You are a self-starter with an optimistic, positive, pragmatic, can-do mindset You are used to solving problems yourself, and bringing solutions to management instead of problems You enjoy unburdening your stakeholders, whilst keeping them strongly aligned at the same time You are firmly in control, of financials, of planning, of risk mitigation, etc In a sometimes complex organization you know how to get things done For you results count as the only real measure of progress And you enjoy working with people, and leading your team with respect for the persons involved Self-confident, able to report directly to sponsors at senior level and communicate to steering committee. What are you going to do? Responsible for managing the new ITSM solution to deliver the ITIL processes needed to deliver IT services throughout LeasePlan globally and responsible for the successful delivery of the project within defined time, quality and budget. Define the project scope and ensure proper alignment with project stakeholders. Build and maintain the project plan, resource estimates, collaboration site, action, risk, decision and issue log and all the required project artifacts as per the Digital Delivery standards. Assesses and resolves project risks as they are encountered. Manage the project budget. Excellent ""project pilot"": drives and coaches the project`s resources. Constantly ensure planning and resources are well aligned. Reporting: ensure proper and accurate reporting to allow decision-making and project progress control. Report status on a weekly basis and facilitate regular project status meetings. Prepare and present robust steer co presentation. During the final stage of the project, ensure the solution is ready for operations and all processes are updated and relevant teams are trained. Provide project closure report including lessons learned with the project team. Accountable to the Programme Manager What do you need to do the job? Minimum 8 years as a project manager preferably on complex technical projects. Experience will include scope management, budget management, time management, risk management, change management, issue/conflict resolution, communication management, quality management, testing plans, training plans, team management. International experience with the ability to work in a diverse work environment across cultures and time-zones; available to travel. Structured way of working, results driven, proactive, self starter and able to be effective in a challenging environment. Pragmatic project manager with strong methodology (e.g. PMP) and analytical mind. Experience with IT infrastructure implementations and technical transformation. Able to re-use previous experience to anticipate and head off problems that can jeopardize the project. Strong stakeholder management skills. Strong team leadership skills, able to manage internal and external resources. Excellent facilitation, collaboration, negotiation, and presentation skills. Excellent written and verbal communication skills in English. Education / work level at University / HBO level The team You are part of a customer Journey team which exists of digital marketeers, developers, data engineers, scientists and analysts. Working from Amsterdam this team is transforming the onboarding of clients into a fully digital process. How is life at LeasePlan Digital? With around 1.7 Million cars in over 30 countries and more than 50 years of experience on a global scale, LeasePlan is the largest automobile leasing and fleet management company in the world. LeasePlan Digital, is there to create our ambition for a customer centric experience across all digital touch points, to deliver true value to our customers and in turn maximize long-term customer satisfaction. We offer a start-up atmosphere, incorporated in one of the world's leading fleet management companies. That means a working environment surrounded by like-minded innovators working together from their home offices using Microsoft Teams, Slack, Jira and other tools to get the job done together. Our working community is close, sharing work and personal related matters to stay connected. You can expect a competitive salary and benefits, room to grow and plenty of can-do attitudes. Most importantly? You'll get the opportunity to help shape the future of an exciting, dynamic industry. A pre-employment screening is part of the selection process. We are looking for somebody who is based in The Netherlands.",2021-03-17 19:06:14
2a556260641e5bc4,"Wat ga je doen As a (Senior) Technician Antibody discovery you are responsible hands-on laboratory execution, which involve technologies such as Hybridoma Generation and B-cell FACS sorting. You ensure efficient handover of data and materials to other teams in the organization. You are actively involved in the outsourcing and monitoring of activities taking place at CRO’s. You document and report the results in an organized and concise manner. You report to a Scientist Lead Generation, who is responsible for oversight of all Antibody Discovery projects. Wat vragen wij For the position of a (Senior) Technician Antibody discovery we are looking for a candidate with a Bachelor or Master degree in Cell or Molecular Biology, Biochemistry, Immunology or a related discipline.  Experienced in the field of Antibody Discovery, Hybridoma Generation, FACS analysis, and Protein Chemistry is an advantage. Experience in B cell sorting is crucial You have an affinity with technology, and you enjoy starting new projects. You are enthusiastic, open-minded, goal-oriented and have a ‘getting things done’ mentality. You recognize the importance of working according to a quality system, which includes adhering to procedures and detailed documentation of your work. You have strong communicational skills in English AND Dutch Wat hebben we te bieden Year contract at the company Salary indicaiton starting at 2550,- gross per month based on fulltime Fulltime position Day shift Waar ga je aan de slag This company in Utrecht is a biotech company specialised in antibody therapies to treat cancer. Wil je meer weten? Na Rae de Jong 088 00 211 23 narae@checkmark.nl Vacaturenummer: 6811",2021-03-17 19:06:16
a66dd479ccfde25a,"At Xebia we are always looking for talented people to deliver value to our clients and their customers. We help our customers to become data-driven by building their self-service data-platform in the cloud and therefore deliver direct value to their clients. We at Xebia IT Architects enjoy great success in enabling data scientists at companies to become data-driven. Just think of what more we can achieve when YOU join our team!  As a Data Platform Engineer, you are responsible for the setup, deployment, and productionising of data-intensive environments. You develop infrastructure as code that will support the setup of the self-service data platform. You are able to do this in at least one of the major cloud providers. You are experienced in architecting “simple” solutions and have a background in software engineering. Within your work, automating everything is written in your DNA.  What will you do? With your knowledge of infrastructure, cloud, clusters, queues, containers, streaming, and graphs you work on business-critical systems with lots of data or help build such systems greenfield. You work at the client in mixed teams, and pick up the work that is related to the platform which the team is building. When you're working on-site with a client you may come across something that is really difficult to solve. Luckily, every other week Xebians gather at our office to share knowledge with each other, to discuss and even solve challenges with the help of the hive mind of Xebia. If that's too long to wait, everybody at Xebia is just a quick message away and ready to help at any time.  Why this job? if you really like working with the latest and greatest cloud solutions from AWS, GCP or Azure if you know your way around the big-data ecosystem and work with tools like Airflow and Spark if you get energy from working for different clients and helping them achieve their goals if you like working with open-source technology and want to make time to contribute to the communities  And you are: Experienced as an Cloud Engineer or Data Platform Engineer Someone who enjoys ‘walking on the edge,’ and is eager to work with new technologies Enjoys spreading knowledge and training organisations in how to become high performing SRE players Inspiring Knowledgeable with a touch of geekiness Not ashamed to talk about your ambition in your field of expertise We’d love to hear from you! We’re all about helping people boost their careers and contribute in a meaningful way in their work.  Sounds good? There’s more:  Challenging projects with a steep learning curve Regular in-house knowledge sharing sessions and support for professional and personal development A cool, inspiring office and creative workplace Great parties and social/sports activities At Xebia, you’ll find like-minded colleagues who are frontrunners in their fields. We’re ambitious, experienced professionals in business and IT, specialized in connecting people, technology and data. We are always searching for talent—are you in?",2021-03-17 19:06:19
42aa35c06a85d0c4,"Los jij graag datavraagstukken op die gericht zijn op de toekomst van jouw eigen leefomgeving? Wil jij met collega's en externe partners samenwerken om grote hoeveelheden data om te zetten naar bruikbare informatie? Vindt je het tot slot leuk om met je collega's te sparren en projectmatig bezig te zijn? Lees dan snel verder. ISDR46851 Organisatie Als Data Scientist bij deze organisatie zul jij je geen moment vervelen. Ze zijn gevestigd in de omgeving van Haarlem en binnen de organisatie ga je aan de slag met diverse projecten en overheidsvraagstukken. Deze organisatie werkt nauw samen met toonaangevende onderzoeksinstituten binnen Nederland. Als onderdeel van een team van enthousiaste en gedreven data scientists en analisten ga je de uitdaging aan om met verschillende partijen uiteenlopende opgaven te realiseren. De afgelopen jaren is er op datagebied aan projecten gewerkt die een grote impact hebben op de huidige maatschappij en ruimtelijke ordening. Denk hierbij aan maatschappelijke organisaties, maar ook aan projecten voor overheden en kennisinstellingen. Eén van de vraagstukken voor de komende periode is bijvoorbeeld de stad van de toekomst. Werk jij hier binnenkort aan mee? Er liggen nog tal van andere dataprojecten op de stapel waar je de komende jaren vol enthousiasme en trots aan kan werken. Er is dan ook nog genoeg ruimte voor nieuwe ideeën. De sfeer binnen de organisatie valt het best te omschrijven als informeel en professioneel. Kortom: je krijgt uitgebreid de kans om te werken aan gave / innovatieve projecten en daarnaast zijn er voldoende opleidingsmogelijkheden om jezelf te blijven ontwikkelen. Taken Identificeren van datavraagstukken Herkennen van noodzakelijke samenwerkingen en deze data combineren ten einde data analyses uit te voeren Omzetten van businessvragen naar dataprojecten Herkennen en inspelen op verbeteringen op het gebied van diepte en omvang Gespreks- en sparringpartner zijn voor collega data scientists, analisten en hoger management Creëeren van draagvlak op zowel operationeel als strategisch niveau. Eisen HBO/WO werk -en denkniveau. Bij voorkeur afgestudeerd in bijvoorbeeld data science, econometrie, bedrijfskunde of engineering. Meer dan 5 jaar ervaring in data-analyse en modellering. Meer dan 5 jaar ervaring met programmeertalen als Python, C++, Spark Scala, Java. Ervaring in zowel gestructureerde als ongestructureerde datatools, zoals SQL of Hadoop. Bekwaam met statistical packages en Machine Learning. Kennis van data analytics platforms en cloudomgevingen is ene pré. Sterke communicatieve- en presentatievaardigheden. Je bent gedreven en enthousiast. Arbeidsvoorwaarden Salaris oplopend tot 6150 euro o.b.v. 36 uur. 36-urige werkweek Goede secundaire arbeidsvoorwaarden, waaronder volledige OV vergoeding Prima balans tussen werk -en privé. Salarisindicatie De salarisindicatie bedraagt 4.300 euro tot 6.150 euro bruto per maand op basis van 36 uur per week. Over iSense iSense is een jonge, energieke en ambitieuze specialist in de ICT arbeidsbemiddeling. iSense helpt je bij het vinden van een baan op operatie, business consultancy en (project/lijn) management niveau. Een baan waarin je succesvol kunt zijn en vooral ook gelukkig. Samenwerken met iSense betekent voor jou: Persoonlijke begeleiding voor, tijdens en na jouw sollicitatietraject; Goed inzicht in jouw persoonlijke vaardigheden door diverse rapportages; Klaargestoomd worden voor jouw sollicitatiegesprek; Altijd op de hoogte zijn van jouw sollicitatietraject; Maandelijks persoonlijk contact met de Field Coach; Ieder kwartaal gratis deelnemen aan de Personal Development Workshops; Met regelmaat op pad met jouw iSense collega’s in de regio (ihavefun). Meer weten? Kijk op www.iSense.nl. Locatie Haarlem Publicatiedatum 23.12.2020 Publicatie eindigt 29.04.2021",2021-03-17 19:06:22
76862ea7aab4223e,"For our new client, we are looking for an experienced Data Scientist! As a Data Scientist, you ensure that all the data streams work, and enable the customers for new Data-Driven solutions. Are you our hero in Machine Learning and AI solutions?  We are looking for you then! Let’s discuss the details: Company Overview: Our client is an integration specialist within the digital transformation of organizations based in Den Bosch. The company exists 10 years and therefore is an experienced player within the integration field. Currently, they have around 60 employees and a partnership with RedHat. They’ve started a new branch within the company completely focused on the Data Science field. Currently working with a team of 5 their main focus is on streaming integration, analytics and services on top of Kafka.  Tasks:As a Data Scientist, we want you to: Enable our customers with new data-driven solutions and insights Be responsible for designing ML/AI solutions Guide and implement a continues data development flow Process data into Machine Learning models in applications and reports Have an Engineering Culture mindset: you think in opportunities Your profile: Streaming techniques eg with Kafka, Spark, Flink You know your way around with the Cloud (Amazon, Google, Azure) Asking questions for the matter you don’t understand but would like to Extensive knowledge of Machine Learning / AI tools & frameworks like Tensor FlowSQL has no secrets for you Programming skills in e.g. Python, Java, Scala Knowledge and experience with data visualisation Their offer Nice salary with great benefits! A challenging job in a fun organisation Laptop and phone Lots of Data Support to keep learning and follow trainings and/or visit conferences Are you still interested? Apply now and show us why you are the (Senior) Data Engineer we are looking for!",2021-03-17 19:06:25
806ce7fb86b9cd78,"Lead Scientist Location: Tilburg Contact: Pascal Lagendijk Job type: Permanent Contact phone: +31 (0)20 406 97 50 Industry: (Petro)Chemistry Contact email: pascal_lagendijk@oxfordcorp.com As a lead scientist you hold a key position in a large team of analytical scientists in a renowned and modern analytical laboratory, with many opportunities to further develop in your field.  Job description  For our client we are looking for a specialist in Analytical Chemistry, who takes the lead in setting up studies for challenging research. In this position you will become the problem solver for the analytical team, and you will use your knowledge and skills when technical and scientific expertise is needed.  Responsibilities Is concerned with optimizing an efficient method development process. Together with colleagues, you assess the analytical approach to method development projects, interpret data and results and adjust strategies. Plays a proactive role in researching potential innovations, such as emerging technologies and methods, as well as new applications. You specialize in method development, validation and analysis of medicines, polymers, pesticides and other chemicals. Is familiar with many techniques: UPLC-MSMS, GC-MSMS, ICP-MS, GC and HP / UPLC. Profile An Academic Degree in Analytical Chemistry (MSc or PhD), Minimum of 5, ideally more than 10 years of work experience in a leading scientific role in industry or academia Extensive experience in developing analytical methods Recent scientific contributions in peer-reviewed journals and analytical symposia Clear, concise and to-the-point way of verbal communication in both Dutch and English Excellent scientific writing and presentation skills A critical attitude, customer-oriented, motivated and enthusiastic Terms of employment Contract; Directly employed by the client Competitive salary and benefits An open corporate culture and a pleasant, informal atmosphere Vacancy number: 16852 Imporatant note; Residence permit is required. Please do not apply if you do not have a residence permit to live and work in the Netherlands. Your application will not be processed Apply Now",2021-03-17 19:06:27
28a1d62b8627b94a,"About the position Your challenge will be making the very best of the following tasks and activities: · Lead in role of further development of core competencies, optimization of key process steps in the sample preparation workflow, development of technical concepts, algorithms and applications software · Develop and execute protocols for appropriate testing, characterization and optimization of these processes and modules · In interactions with the application engineers, be the expert on key process steps and contribute core knowledge to optimize our sample preparation workflow for the customer specific sample. · Continuously stay updated and informed on new sample preparation approaches, and propose novel concepts based on obtained knowledge, literature review and customer interaction · Responsible for substantiating novel concepts based on proof-of-principle experiments and analytical/computation models. Subsequently, translate these results into requirements for product development. · Proper documentation of project deliverables is key Skills & experience · Master’s degree in physics or mechanical engineering and 7+ years of hands-on experience in high-tech R&D. · Advanced skills in process analysis and structured process optimization, in which you have proven to take a leading role and employ a collaborative multidisciplinary approach to meet project and organizational goals · Specific expertise in thermal engineering and/or fluid dynamics is desirable · Preferably, experience in data/signal/image processing, e.g. in MATLAB or Python. · Ideally experience with Finite Element Analysis (COMSOL preferred). · English is at a full professional proficiency level, both spoken and written. · Highly motivated team player, with creative, self-starting ‘can-do mentality’; customer focused, communicate effectively with internal and external network. · Perform work in a structured way, are organized, well-planned, disciplined and eager to keep learning. Our offer · A pivotal role at a fast-growing high-tech company with a global market · Opportunity to shape and steer career based on interests and values · Strong professional and personal development opportunities · To become a valued member of our multi-cultural and entrepreneurial team How to apply · Qualified candidates are invited to apply directly via email hr@cryosol-world and specify ‘Senior Development Engineer’ in the subject line · Please include your resume and motivational cover letter · There will be no response to acquisition activities of recruitment companies based on this advertisement Extra information: - Title: Software engineer - Ranking: Senior - Industry: High-Tech Systems - Market: Government, Pharma - Customer type: Universities Life Sciences Faculties, Scientific Institutes, corporate R&D departments - Customer persona: Professors, Senior Scientists, R&D directors - Geographical: Global: 30% North America, 30% Europe, 30% East Asia, 10% RoW - Summary of position: Leading the software development at CryoSol-World - Key skillset: Extensive experience in software development, leading role in software development projects. - Key deliverables: Technical implementation and execution of the software development roadmap, robust and maintainable software. - Department: Company-wide - Reporting to: CTO - Contract type: Full-time with flexibility options - Salary: Competitive base salary & company bonus - Location: Head office: Maastricht, The Netherlands/ Weert, The Netherlands - Travel requirements: Up to 20% Job Types: Full-time, Contract, Permanent Experience: c++: 7 years (Preferred) Work Remotely: Temporarily due to COVID-19",2021-03-17 19:06:45
7b60df3117c32727,"What you will do We need you as a Senior Embedded Software Engineer to be part of our interdisciplinary team to develop embedded software solutions for our Bathroom4Health projects that will enable next generation personalized health monitoring. You will drive innovation and come up with smart designs. You will work in close collaboration with other Software Engineers, Biomedical Researchers, Data Scientists and the hardware team. In this role you: Develop firmware on a Cortex-M processor platform to support sensor data acquisition, signal processing, storing and wireless transmitting (BLE, WiFi, etc.) using FreeRTOS. Develop low level drivers for the Cortex-M processor on-chip peripherals (I2C, SPI, UART, etc.). Develop and execute test cases for (self or third party developed) software in Python and C/C++. Test and integrate embedded software in prototypes or simulators (unit, functional, integration and regression testing). Support evaluation, (lab-based/trial) testing and troubleshooting of prototype systems. Support release process (testing of release candidates, code reviews, etc.). Interface with customers on definition of specification, interfaces, progress, and deliverables. Work according to medical device or similar functional safety regulations. Work closely with interdisciplinary team ensuring the end goal of the (prototype) system/application will be met as well. What we do for you We offer a challenging and international environment at the forefront of technology, in an international network of renowned industrial customers. This is your opportunity to bring new technologies to the market that will have an impact on tomorrow’s society.  OnePlanet is a new collaboration of 3 renowned and globally respected research institutes/universities. By joining the OnePlanet team, you will be part of a team of world changers; disruptive innovators and practical thinkers. Here, your ideas will have an impact on our future lives.  At the same time, Imec The Netherlands, as an employer of choice, offers you an attractive compensation and benefits package including a 100% employer paid pension plan and flexible working hours. Furthermore, imec-NL offers a wide range of training possibilities. Who you are BSc or MSc degree in computer science, technical informatics, embedded systems, electrical engineering or similar. 5+ years experience in embedded software development and architecture definition for resource constrained systems, preferably in the field of wireless sensors, low-power or health. Strong interest in the field of personalized health solutions. Advanced in coding for embedded software systems that are resource (power, memory, computation) constrained (must). Knowledge of ARM Cortex platforms and experience with embedded tools like GCC/GDB (plus). Excellent programming skills in C and C++ and experience with Python (must). Experience with Android/IOS (plus). Proficient in Object Oriented Analysis and Design methodology (use of UML). Proficient in source code version control systems (GIT). Experience in the field of testing (unit, functional, integration, regression testing) and continuous integration. You know how to operate a scope, a logic analyzer and can debug firmware and low level driver issues. Being able to read hardware schematics and understand functionality of the embedded system. Flexible team player who sees change as an opportunity to learn and grow. Hands-on attitude. Taking responsibility for the process from specification to implementation, testing and debugging, including communication and alignment with different stakeholders. Quick learner, able and interested in acquiring new skills and competences. Ability to be creative and think outside the box. Being able to work in an environment with changing or only partially defined requirements. Being able to work outside the field of your experience (e.g., not software related). Excellent communication skills in English (written and spoken). Interested Are you interested in this position and do you want to learn more about it, then you can talk to Frank Wolfs, Talent Acquisition Lead. You can reach Frank via +31(0)6-50837563 or you can send an email to frank.wolfs.ext@imec.nl . You can also apply on our website by sending us your resume and motivational letter. Click on ‘apply’ to submit your application. You will then be redirected to e-recruiting.",2021-03-17 19:06:48
a9414e433aa4243e,"De S/4 HANA developer van de toekomst kan zowel goed overweg in de backend als in de frontend. Als Full Stack Developer hou je je bezig met ABAP, ABAP on HANA en OData en… jouw innovatieve ideeën? Er wordt altijd gewerkt aan nieuwe innovatieve oplossingen Ervaring hierin is ook een must. Het zou een welkome aanvulling zijn als je ook ervaring hebt met Fiori configuratie, troubleshooting en development. Daarnaast is het van belang op de hoogte te zijn van nieuwe development frameworks, zoals bijv. RAP en CAP. Met jouw creativiteit krijg je de kans te bouwen aan toekomstbestendige software.   Jouw rol Je maakt deel uit van een ontwikkelteam met gedreven professionals. Samen met je team lever je een bijdrage aan het voortdurend verbeteren en opleveren van waardevolle software. Je zal worden ingezet op projecten bij toonaangevende klanten waar we S/4 HANA implementeren. Elk project is anders en het is jouw uitdaging om de behoefte van gebruikers om te zetten naar generieke en herbruikbare componenten. Je weet wanneer je moet ontwikkelen in de “core” en wanneer “side-by-side” de beste optie is. Je bent een ambassadeur van nieuwe ontwikkel technieken en zorgt ervoor dat we ontwikkelen conform de juiste standaarden. Naast het klantenwerk ga je aan de slag met innovatie. Er zijn verschillende initiatieven die als doel hebben om “Intelligent Technologies” te positioneren bij onze klanten. Denk daarbij bijvoorbeeld aan een jaarlijkse Innovation Challenge. We vinden het belangrijk dat je proactief bent en kennis deelt met je collega’s en zo ook de SAP Community.  Het team Onze collega’s van de servicegroep Technology helpen grote en kleine klanten met de strategische blueprint van IT-transformaties. Welk cloudplatform past het beste bij de situatie van klant X? Wat zijn de veiligheidsrisico’s van de IT-oplopssing van deze leverancier? Hoe implementeren we Agile werken binnen deze organisatie en hoe bouwen we vanuit design thinking workshops een nieuwe app? Gebaseerd op de roadmaps van de klant bouw je samen met een team van internationale professionals aan op maat gemaakte software en oplossingen, al dan niet in combinatie met het toepassen van slimme techniek zoals Robotics of Artificial Intelligence. In het blueprint proces zul je ook security defensie strategieën ontwikkelen, door het combineren van technologie en gebruikers gedrag. Samen slaan we een brug tussen de behoeftes van bedrijven en de nieuwste technologische innovaties. Met een internationaal team van UX-designers, data scientists en creativelingen werk je aan innovatieve end-to-end projecten om de blueprint van onze klanten naar een nóg hoger level te tillen.  Jouw achtergrond Je hebt een afgeronde HBO- of WO-opleiding met IT component Je kunt concepten vertalen naar functionele software en bent in staat abstract te denken S/4 HANA project ervaring Je hebt een proactieve werkhouding, bent leergierig, analytisch, collegiaal, flexibel, doelgericht en werkt gestructureerd Je communiceert duidelijk en hebt een goede beheersing van de Nederlandse & Engelse taal, zowel woord als geschrift Bereid om te reizen (dit zal altijd in goed overleg plaatsvinden)  Ons aanbod Accenture is een geweldige plek om te werken en jezelf te ontwikkelen. Kies je voor Accenture, dan word je een schakel in een bedrijf op wereldniveau. Door de vele samenwerkingsverbanden en relaties met klanten zijn wij trots op onze levendige en diverse bedrijfscultuur. Wij staan voor een agile aanpak, end-to-end services en een realistische mindset. Wij willen de echte jij leren kenen en je verder helpen met je professionele en persoonlijke ontwikkeling, waar je interesse ook maar ligt. Je doorloopt gedurende je carrière bij ons meerdere leertrajecten (formeel en informeel) om je vaardigheden en expertise binnen je rol uit te breiden. Naast onze opportunistische wekomgeving en de meest uiteenlopende projecten, bieden wij jou ook nog het volgende: Een flexibele vervoersregeling die bij uw persoonlijke situatie past (elektrische auto of fiets, flexibel budget inclusief een NS-business kaart) Een onkostenvergoeding Korting op Accenture aandelen De mogelijkheid om 4 x 9 uur per week te werken   Geïnteresseerd? Ben jij klaar voor een carrière bij Accenture waarmee je jezelf kunt zijn en iets kan doen waar je echt van houdt? Meld je aan en maak het verschil. Heb je nog vragen? Neem dan contact op met Bibi Driehuizen via bibi.driehuizen@accenture.com.",2021-03-17 19:06:53
f3e0d1cb53fb7b0d,"Lead Front End Engineer - (AMS1011)  About Us When you join Abcam, you will have the opportunity to work with a purpose driven life sciences organisation undergoing an exceptionally exciting digital revolution. We are ambitious. We are digitally evolving and need exceptional talent to help us drive that journey. We will design, architect and develop the prototype into a product, make it manufacturable, listen to customers and turn it profitable. The hub is a unique blend of a digital, start-up environment, within a purpose-driven organisation, achieving our objective of serving life scientists to achieve their mission, faster. Our culture is our key differentiator. We believe in empowering individuals, with responsibility given at an early stage. The working environment is fun and fast-paced, collaborative and outcome focused, with a strong customer focus. In addition to competitive salaries, we can offer an attractive flexible benefits package which includes share options, a culture focused on well-being and opportunities for growth and development. We all have clear goals to reach at Abcam, and we’re encouraged to be original in how we get there. No matter your role, be it a Credit Controller or a Lab Technician or Solution Architect, we know that tried-and-tested doesn’t always mean best. Dare to be different, dare to be ambitious, and you’ll help us change the game in our industry. In addition to competitive salaries, we can offer our multi-award-winning global share purchase plan, AbShare, a culture focused on well-being and opportunities for growth and development. About the Role We are looking for a Lead Front End Engineer for our omnichannel platform, that brings a broad set of technical skills and product achievements, a development and customer focused mindset to solving problems, and bring news ideas and digital thinking into our global Architecture capability. Key responsibilities include: Lead and enable a team of engineers to deliver high-quality software Manage a line of talented engineers, help them plan their growth and set them up for success Work with team members and product and technology peers to design new world class digital products, platforms and customer experiences Collaborate cross-functionally to implement the digital products required to support our vision and digital strategy Develop our software engineering strategy, best practices, technology stack and architecture to drive quality, accuracy and agility Collaborate with members of the global Abcam team to implement and support aspiring strategic efforts, provide constructive feedback, and foster a collaborative environment of product and engineering excellence About You Significant Front End Software Engineering experience, with demonstrable technical expertise in system design Strong knowledge of the JavaScript programming language and its tooling ecosystem Experience in continuously delivering high-quality software using React, Angular or Vue Develop technical documentation, diagrams and templates and be rigorous in maintaining accuracy and relevancy of developed materials Experience developing and maintaining front-end CI/CD pipelines using systems such as GitLab CI, GitHub Actions, Jenkins etcetera Experience in automated software testing, feeling comfortable writing functional and/or unit tests Willingness to work with your colleagues to develop best software engineering practices and share knowledge Ability to write technical documentation and develop diagrams for software solutions Experience working in collaboration with Product Managers, QA Engineers, Designers and other stakeholders Ability to act as an informed leader and make data-driven decisions on behalf of Abcam Be curious, audacious and not afraid to ask questions and challenge the way things are done today and own improvements to culture and process Inform, educate and develop team members and peers to grow expertise, develop alignment and encourage collaboration Able to present ideas and solutions concisely and in an engaging manner Passionate about enriching engineering culture and delivering engineering excellence Demonstrate agility, pick up new technologies and embrace change Bonus points (although not required) if you have one of the following… Strong React experience, familiarity with SSR, React Hooks and state management solutions Experience working with TypeScript Experience with Micro Frontends architecture Experience configuring bundlers such as Webpack, Parcel, Rollup etcetera Experience with GitLab CI Experience developing multi-environment, multi-market software at scale Our Tech Stack You are an engineer at heart, therefore let us share our ever-evolving technology stack with you. On the front end, we are developing multiple front-end applications following micro front-ends architecture, which allows our teams to grow and scale, delivering software rapidly with minimal friction. We use React with TypeScript and Styled Components. We use GitLab CI for our CI/CD pipelines. We consume back-end services using REST HTTP calls and GraphQL. Search engine visibility and asset optimization is important to us, so we implement SSR with Next.js. For the back end, we focus on developing resilient, highly-available, performant software with top class observability and fault tolerance. We are using Node.js to develop microservices and back-end application. We leverage technologies such as Docker, Serverless Framework and TypeScript. We serve back-end APIs internally, to our customers (B2C) and to our partners (B2B). We are using tools such as message queues, Kafka for event streaming, Amazon SNS, Postgres and more. Our infrastructure sits in Amazon Web Services. Supported by our wonderful Platform Team, we are able to deliver software on Kubernetes or in a serverless manner using Serverless Framework. Inclusion & Diversity Abcam is an Equal Opportunity Employer and makes all employment decisions without regard to age, national origin, race, ethnicity, religion, creed, gender, sexual orientation, disability, veteran status, or any other characteristic protected by law. #LI-NL1  Primary Location NL-NL-Amsterdam Job Digital Organization Netherlands Schedule Regular Standard Job Type Full-time Travel No Job Posting Mar 15, 2021, 1:41:15 PM",2021-03-17 19:06:55
