id,description,scrapetimesdescription
bcafd016f70cee04,"Wil jij alles leren op het gebied van Online Marketing en vind je het het leuk om deel uit te maken van onze snelgroeiende start-up? Houd jij van een beetje uitdaging en verantwoordelijkheid? En heb je daarnaast ook nog eens een hands-on mentaliteit? Dan zijn wij op zoek naar jou! Over Global Leads Global Leads is een internationale start-u, gevestigd in Den Haag. Bij Global Leads zoeken we dagelijks naar de beste aanbiedingen / kortingen. Deze deals brengen we onder de aandacht bij onze fans via onze eigen online kanalen zoals Facebook (meer dan 200.000 leden), website (maandelijks 900.000 unieke bezoekers), onze app en nieuwsbrieven. Je krijgt super veel verantwoordelijkheid met eigen projecten die je zelfstandig mag uitvoeren. Er is erg veel ruimte voor eigen initiatief. Heb je een goed idee, dan mag je het wat ons betreft dezelfde dag nog gaan uitvoeren! Werkzaamheden Wij stemmen de werkzaamheden graag af op jouw studie, kennis, ervaring en ambitie. Een greep uit jouw mogelijke werkzaamheden: Google Analytics analyses uitvoeren en verbeterpunten aandragen * SEO-optimalisatie Schrijven van SEO-content Speuren naar de beste online kortingen en deals Publiceren van deals op onze internationale websites & Social Media pagina's Managen van onze Social Media kanalen Community engagement verhogen Marketing campagnes & winacties opzetten Onderzoek naar nieuwe mogelijkheden / markten voor onze website. Wie zoeken wij? Ambitieuze HBO / WO Studenten (bij voorkeur Commerciële Economie, Communicatie of Marketing) Affiniteit met Online Marketing en Social Media Hands-on mentaliteit (we zijn een start-up) Foutloze beheersing van de Nederlandse taal Beheersing van een extra taal (bijv Spaans, Frans of Duits) is een pré Ben jij gek op koopjes / kortingen? Dan pas je helemaal goed in ons team! Wat bieden we jou? Binnen ons bedrijf krijg je de kans om werkervaring op te doen op het gebied van Online Marketing. Binnen ons topteam hebben we jarenlange ervaring met Online Marketing én met het coachen van studenten. Tenslotte zijn er altijd mogelijkheden om na je studie aan de slag te gaan bij ons Soort dienstverband: Parttime Aanvullende betalingen: Bonusregeling Arbeidsvoorwaarden: Flexibele werkuren Werk vanuit huis Werkschema: ma-vr Weekend Ervaring: Online marketing: 1 jaar (Aanbevolen) Opleiding: HBO (Aanbevolen) Thuiswerken: Ja",2021-03-16 16:16:02
46f6c838397e06e0,Mobile Marketeer Als Mobile Marketeer bij tHMA ben je binnen je team verantwoordelijk voor het bepalen van een mobile marketing plan. Daarnaast zul je klantgedrag en statistieken analyseren en vertalen naar concrete informatie voor je team. Aanvullende eisen: Communicatief Je bent op de hoogte van de laatste (mobiele) trends Relevante opleiding in Marketing behendig met excel en socialmedia Stuur je motivatie en CV naar trainee@thma.nl,2021-03-16 16:16:05
73993cbcb3e0114b,"Weet jij alles van Facebook, Linkedin, Instragram en Pinterest? Is het maken van creatieve en aansprekende content jouw tweede natuur? Dan hebben wij een prachtige uitdaging voor jou! Wat zoeken wij? Door de ontwikkelingen in de markt en onze eigen groei zijn we op zoek naar een Senior Social Media Marketeer die ook voor Brandmerck, maar vooral voor onze opdrachtgevers de kanalen van hun sociale media beheert en onderhoudt. Ben jij sterk in het schrijven en bedenken van content die aansluit bij de doelgroep? Grafische skills zijn een pluspunt! En uiteraard zoeken we iemand die affiniteit heeft met online marketing, zelfstandig kan werken, maar ook perfect past binnen het bestaande team. Een ‘oprjochte Fries’ hoef je niet te zijn, maar enigszins in de buurt is wel zo prettig. Beschik jij over? Aantoonbare ervaring met social media marketing (stuur voorbeelden mee); Een creatieve geest; Foutloze beheersing van de Nederlandse taal; Affiniteit met online marketing; Een leergierige houding; De juiste mentaliteit; Tafeltennistalent. Je krijgt van ons Koffie & lunch; Relaxte werksfeer (er wordt gelachen); Geweldige collega’s; Tijd voor persoonlijke ontwikkeling; Ruimte voor creativiteit; Veel (verschillende) uitdagingen. Ben jij die social media goeroe? Stuur een e-mail naar vacature@brandmerck.nl met je motivatie, voorbeelden van jouw werk en je CV.",2021-03-16 16:16:09
4f18f5ef0a768d4a,"Company Description  ProPharma Group is an industry leading, single source provider for regulatory compliance, pharmacovigilance, and medical information services across the full development lifecycle for pharmaceutical, biotechnology, and medical device companies. Operating around the world with offices in Australia, Canada, Germany, Japan, the Netherlands, Sweden, United Kingdom, and the United States, ProPharma Group’s fully integrated service offerings will provide clients with a comprehensive suite of global support services that are required to be competitive in today’s dynamic markets. We build successful long-term relationships with clients by providing leading industry knowledge, experience, and proven processes.  Job Description  This position can be remote but must reside in The Netherlands and be willing to travel to the Leiden office as needed for meetings. Execute the marketing communication plan including authoring press releases, sending direct mails and e-mails to customers, and placing advertisements in technical periodicals. Publish and distribute the External Newsletter. CRM coordination: Track the effectiveness of campaigns and leads in various databases including the Salesforce CRM tool and marketing automation software. Work with the sales team to ensure accuracy of contact information in CRM. General assistance of Marketing Team/EU Marketing Manager in day-to-day operations. Note taking, meeting management, execute content/event processes. Support internal marketing & communication. Large proposal support and coordination. Manage website content and social media initiatives. Coordinate trade show attendance and materials. Order and Manage marketing materials. Manage the Marketing Calendar. Ensure website content is current and seminars/press releases are posted. Manage social media platforms including distribution of key messaging and content. Coordinate marketing functions/special events. Prepare status reports on project marketing efforts, keeping marketing principals apprised of actions, schedules, prospects, and related events. Assist with arrangements for trade shows and conferences.  Qualifications  BA or BS degree in Marketing or related preferred. Minimum of 3 years of marketing experience. Strong verbal and written communication skills. Must possess strong organizational and management skills, communication skills, attention to detail, and the ability to work under tight deadlines. Proficiency in Microsoft Office (CRM Salesforce experience preferred). Strong team player who is also able to work independently and take initiative. Good project management skills. Creative thinker with strong problem-solving abilities.  Additional Information  We are an equal opportunity employer. M/F/D/V ***ProPharma Group does not accept unsolicited resumes from recruiters/third parties. Please, no phone calls or emails to anyone regarding this posting.***",2021-03-16 16:16:12
806e9037c85314d3,"Our hearts are burning for sport in all its facets and for the many opportunities that the digital world brings with it. We at Eversports are an international, dynamic team that works hard, has fun and shares a great vision: ""Make SPORTS happen"". Eversports offers modern and innovative SaaS solutions for sports providers and studios. On our online platform and through our apps (iOS and Android), athletes can find, book and pay for the sports activities, classes and courses offered in their area. As our Head of B2B Marketing (m / f / d) in Amsterdam or Vienna you develop and lead our international team of content and performance marketing experts to further strengthen our position as market leader in the European markets and prepare the team for global expansion. YOUR TASKS Drive demand for our boutique studio and sport center management software by constantly improving ROI of our existing Marketing channels. Dare to explore new ways to reach potential B2B clients and ensure that lead generation results in a fast growing healthy pipeline for our Sales Team. Create a winning B2B marketing strategy by fully understanding the whole customer journey and working closely with the CEO, CPO and Head of Sales. Further develop and own our unique B2B Brand ensuring a fully aligned communication over all channels. Be creative in creating products campaigns together with the team and align them with our brand. Create a strong reporting and success measurement system for the Marketing Department. Monitor our markets and competitors, keep the dialog with our partners, and give valuable input to our product roadmap. YOUR PROFILE Experienced: you have at least 3 years of B2B marketing expertise in a high growth SaaS company? Outstanding marketing & leadership skills Familiar with Google Analytics, Facebook Manager, Google Ads and HubSpot Excellent communications skills, fluent in written and spoken English (German, Dutch or French are a plus) Organized: you manage time well and know how to keep the overview? Analytical: you understand how to interpret data and make data driven strategies and decisions as well as growth tests? Proactive: you do what it takes without being told to? Caring: you have your teams' back and care about our partners? Curious: you dare to explore new ways, think outside the box and learn quickly? Passionate: you share our passion for sports? Fun: you know how to have a good time and motivate your team? WHAT WE OFFER Possibility to choose between our amazing offices in Amsterdam or Vienna Flexible time management and a high degree of personal responsibility Short, open communication channels as well as quick decision making process Joint activities such as daily company lunches and regular local and international team events Monthly Eversports vouchers Cooperation with an international, innovative and of course a sporty team Great development potential, a steep learning curve and the prospect of promotion Opportunity to shape the future development of the company And here's the fine print: The minimum yearly gross salary is € 55,000. Depending on your skill set and experience the yearly gross salary can be up to € 60,000. Job Type: Full-time COVID-19 Precaution(s): Remote interview process Virtual meetings",2021-03-16 16:16:16
90ac283382b94c6d,"Voor de functie van Allround Marketeer zijn wij op zoek naar een enthousiaste marketeer die proactief en creatief is, maar vooral ook breed inzetbaar is en zich thuis voelt in een B2B omgeving. Je staat als persoon stevig in je schoenen en kunt tegen een stootje. Kies je voor een baan als Allround Marketeer bij Ebusco, dan kies je voor afwisseling. Samen met de Marketingmanager ben je verantwoordelijk voor het goed op de kaart zetten van Ebusco binnen de internationale B2B OV wereld. Dit betekent dat je samen met je collega’s verantwoordelijk bent voor het opzetten en uitvoeren van ons marketingbeleid in de breedste zin van het woord. Je weet van aanpakken en je focus ligt op operationele taken.  Wat ga je doen Voornamelijk de Duitse markt heeft veel aandacht nodig; daarbij ben jij op marketinggebied hét aanspreekpunt voor alle lopende projecten en nieuwe projecten in en voor Duitsland. Je schakelt hiervoor continue met onze projectmanagers, sales collega’s, onze Duitse klanten en diverse freelancers die hierbij helpen om zo de juiste content te maken en te halen omtrent onze projecten in Duitsland. Dit is heel divers en gaat van video’s tot persberichten tot gezamenlijk georganiseerde tours; Organiseren van beurzen en events, die je van het begin tot het eind verzorgt en waarbij je tijdens de beurzen en events tevens de rol van stand manager op je neemt. We organiseren in 2021 een aantal evenementen/tours zelf (in Europa), maar ook hopen we dat na de zomer beurzen en events weer fysiek doorgaan en daar werk je dan ook naartoe; (Licht) Grafisch ontwerp / DTP-werk voor (online) uitingen zoals social media visuals, brochures, mailings, presentaties, documenten en ter ondersteuning van marketingcontent; Bewaken en beheren van onze Visual Identity; Websitebeheer, waarbij je veelvuldig schakelt met ons websitebureau om continue de juiste verbeteringen door te voeren om onze website nog beter te maken; Het plaatsen van content op onze eigen kanalen (website, social media, nieuwsbrief); Het opzetten, bewaken en continue verbeteren van online marketing campagnes; Alle inkomende aanvragen beoordelen en correct afhandelen; Sales support, zoals het verbeteren van (voornamelijk het design van) offertes, presentaties en het ondersteunen van salescollega’s op marketinggebied; Organiseren en plannen van diverse marketingactiviteiten (bijvoorbeeld videoproducties); Lokale marketingsupport aan salescollega’s in Nederland, Frankrijk, Duitsland en Australië; Coördinatie van vertalingen (met vertaalbureau).  Jouw profiel Je hebt een MBO+ / HBO diploma richting marketing en/of communicatie gerelateerd; Je spreekt en schrijft Duits en Engels; Je hebt een hands-on mentaliteit; Je staat met je voeten in de klei; Je bent fulltime beschikbaar (40 uur); Je kent je weg in Adobe software (Photoshop, Illustrator, InDesign en Premiere); Je vindt het niet vervelend om met enige regelmaat te reizen (i.v.m. beurzen); Je hebt ervaring met het organiseren van beurzen en evenementen; Je kunt werken met een CMS (Wordpress); Je hebt ervaring met het maken en versturen van (geautomatiseerde) nieuwsbrieven (Mailchimp); Je bent gewend projectmatig te werken (met een projectmanagement tool als Asana); Je hebt affiniteit met de OV/transportwereld. Als je hiernaast ook nog ervaring hebt met video(editing) heb je een streepje voor!  Ons aanbod Wij bieden jou de mogelijkheid om deel uit te maken van ons snel groeiend, dynamisch en internationaal georiënteerd bedrijf met een gezellig team van ongeveer 200 gedreven en ambitieuze professionals. Je krijgt voldoende uitdaging en vrijheid en de ruimte voor verdere groei in je carrière. We bieden een marktconform salaris dat past bij je ervaring en functie, uitstekende secondaire arbeidsvoorwaarden en een heerlijke lunch met al jouw collega’s.  Ebusco Ebusco is een pionier op het gebied van elektrisch busvervoer en ontving als eerste Europese fabrikant een Europese typegoedkeuring voor elektrische bussen. Over een aantal jaren moet al het busvervoer in de steden binnen Europa emissie vrij zijn, Ebusco heeft dit jaren geleden al voorzien en is haar concurrenten technisch ver voor. Om deze positie te kunnen behouden en te kunnen voorzien in de vraag die komen gaat zal het personeelsbestand de komende jaren flink blijven groeien. Eind 2016 is ING toegetreden als aandeelhouder om deze verdere groei van de onderneming mede vorm te geven.  Interesse?  Ben jij net zo enthousiast over deze vacature als wij?! Neem contact op met Jenny Verhees (HR Officer) door middel van een reactie via ons sollicitatieformulier. Wij horen graag van je!",2021-03-16 16:16:19
2215de6703ffd10a,"For our fast growing e-commerce platform we are looking for a Content Marketeer UK. World Wide Lighting is market leader when it comes to lighting. With various webshops we provide the European market with high-quality (LED) lighting. Our goal is to make the business market greener and every company that joins us contributes to that. Don't you want to contribute to that too? With a strong team we can conquer the world. That is why we are looking for someone to strengthen our Marketing team. Are you excited to start with us?  What you will be doing: Writing content for the UK market with an SEO mindset; Growing our organic traffic; Create an environment for our customers where they easily find the right information about the lighting products they want to buy; Managing product information (quality).  What you bring to the table: Minimum Bachelor degree (preferably University) with 1 to 3 years experience; Fluent in English; Basic HTML knowledge; Excellent writing skills; Affinity with online- and content marketing; Productive hands-on mentality; Open minded; Ability to work in an international team and b2b environment. What we bring to the table: Competitive salary based on knowledge and experience; Discount on gadgets, computers/ tablets, fitness and bike plan; Terms of employment in accordance with the Collective Labor Agreement for Technical Wholesale; Pension plan; Travel allowance; The chance to grow in an ambitious and international organization; A result oriented culture with a ""can do"" mentality; Inspiring knowledge sessions; Discount on lighting from our own brand Noxion, also for family and friends!  Minimum Bachelor degree (preferably University) with 1 to 3 years experience; Fluent English; Basic HTML knowledge Excellent writing skills Affinity with online- and content marketing; Productive hands-on mentality; Open minded; Ability to work in an international team and b2b environment.",2021-03-16 16:16:23
7d51f58cb6a41fa8,"Ben jij een voortvarende en vakgedreven email-goeroe en wil je samen met ons team werken voor mooie merken zoals Transavia, Eneco, het Rijksmuseum en Greetz? Dan is Team ITG op zoek naar jou!  Als email strateeg bij e-Village adviseer je onze klanten op het gebied van CRM en emailmarketing. Omdat je zowel op tactisch als strategisch niveau goed kan functioneren, bedenk je creatieve strategieën en prijswinnende campagnes. Je ontwikkelt nieuwe inzichten die je baseert op scherpe analyses van customer journeys en campagnedata. Dit doe je zelfstandig, maar ook in teams met client service managers, designers en campaign developers.  Hoe ziet je dag eruit? Uiteraard beginnen we de dag met een heerlijke kop koffie (of thee) en een “goedemorgen” aan je hele team. Om 9 uur heb je een standup met je collega’s waarin je de dag doorneemt en belangrijke commerciële kansen bespreekt. Hierna heb je de eerste afspraak met een klant, ze willen graag dat je meedenkt over een reactivatiestrategie voor hun base. Je hebt dit gesprek goed voorbereid met de Campaign Developers dus je kan de klant uitstekend adviseren! Inmiddels is het 12:30 uur en tijd voor de lunch. Je nodigt je collega’s uit voor een gezamenlijke Teams-lunch zodat je weer vol energie zit voor de middag. Later die dag staat de oplevering van een dashboard voor een grote klant op de planning. Je legt de laatste hand aan de presentatie hiervoor en kijkt nog één keer naar die mooie KPI’s. Yes! De klant is enorm blij met hun dashboard! Aan het einde van de dag beantwoord je nog wat mails van collega’s en klanten en sluit je aan bij de Team ITG Pubquiz!  Jij bent… Iemand met lef en passie voor e-mailmarketing die onze ambassadeur bij klanten wordt. Je haalt voldoening uit het sparren met klanten over de verschillende commerciële uitdagingen en uit het coachen van je collega’s. Je bent een kei in het achterhalen van de klantwensen en het vertalen daarvan naar concrete projecten en marketingactiviteiten. Ook ben je analytisch en conceptueel sterk.  Je komt makkelijk uit je woorden en je bent trots op wat je doet. Dat draag je uit op podia, in blogs en tijdens inspiratiesessies want je krijgt er energie van om je uitgebreide kennis met anderen te delen. Je hebt altijd goede en verfrissende ideeën en weet je collega’s én klanten hiermee te enthousiasmeren en te overtuigen; jouw heldere visie op datagedreven email marketing zorgt voor nieuwe inspiratie!  Wij gaan ervanuit dat jij ook dit in huis hebt: Meerdere jaren ervaring in tactische en strategische e-mailmarketing en marketing automation; Uitgebreide kennis van CRM, data en van e-mailmarketingsoftware, zoals Canopy Deploy; Jouw adviesvaardigheden zijn top en hier haal je ook veel plezier uit; Goede communicatieve vaardigheden (zowel in het Nederlands als Engels) om sturing aan je team te geven en klanten te overtuigen over de meerwaarde van Team ITG en Canopy Deploy; Bij voorkeur heb je ervaring met agile werken; Humor en relativeringsvermogen heb je nodig om volledig te kunnen genieten van de informele en gezellige sfeer van onze organisatie ;-)  Wij bieden… Een uitdagende baan met veel vrijheid en zelfstandigheid en een jong team met leuke en vakkundige collega's. We know you’re not joining only for the financials, but we do offer a few good perks: Een uitstekende beloning die afhankelijk is van kennis en ervaring, tussen de €4000,- en €5000,- per maand Per direct een betrouwbaar contract met aantrekkelijke secundaire arbeidsvoorwaarden zoals een collectieve zorgverzekering, pensioen, 25 vakantiedagen, een laptop en telefoon, onkostenvergoeding etc.; Volop mogelijkheden om jezelf te ontwikkelen, opleidingsbudget, kennissessies en in-house Canopy Deploy trainingen; Alles wat je nodig hebt om goed thuis te kunnen werken; Fantastische koffie, fruit en een heerlijke, gezamenlijke lunch (als we weer op kantoor mogen werken); Regelmatig gezellige bedrijfsuitjes, maandborrels, kwartaallunches en spelletjesavonden. Nu doen we deze voornamelijk online, maar we hopen in 2021 weer een keer live het glas te kunnen heffen met elkaar!  Denk je: dit ben ik en dit wil ik! Reageer dan direct via onderstaande knop of mail je CV en motivatie naar r.schippers@teamitg.com Voor meer informatie kun je ook contact opnemen met Renske Schippers via bovenstaand e-mailadres of bel/app naar 0619748307.  .",2021-03-16 16:16:26
52d839f968a0d614,"Become a Part of the NIKE, Inc. Team NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game. NIKE, Inc.'s storytellers, Marketing and Communication sets the brand tone. A creative force of specialists tell Nike’s stories of innovation and sport through advertising, brand strategy, digital engagement and product presentation. Using channels ranging from retail stores to social media, Marketing & Communication teams connect the science and art of Nike innovations to the hearts and minds of athletes around the world. Based in the European Headquarters in Hilversum, the role will be part of the Consumer Direct Marketing team in EMEA. This team sees the merger of both Nike Partner Marketing and Nike Direct. It has been designed to provide functional excellence across One Nike Marketplace. Consumer Direct Acceleration leads Nike to a more centralised operating model, where EMEA HQ (Geo) will be 100% responsible for the P&L and the seasonal adaptation as well as execution of our brand strategy and architecture. This is why our core functions and business critical MPUs will be based here, whereas the city teams are tasked with humanising the brand and connecting with HVMs on a daily basis. Who are we looking for? We are looking for a talented marketing operations manager who is looking to accelerate in their career and learning, in one of the most progressive areas of Nike marketing. One who is attuned to the needs of the marketing organization in a modern sense, eager to push new ways of thinking when it comes to marketing technology solutions and how they serve a digitally automated marketing process at scale. The manager’s focus is to think across the broader architecture of marketing technology as a means to power strategic objectives for our channels and platforms and expanding into physical experiences in the most personal ways. If you are passionate about improving our ways of working through technology solutions, integration and automation of our cross-functional toolset and help our marketing organization understand its purpose and adopt its benefits this role is for you. We need you to be curious, open to interrogate your own as well as others plans in a constructive way, with always an eye on the KPIs we are accountable for delivering. You should have a magic touch when it comes to the art, but also a mind that ensures the science is applied in real life and real ways so that those around you follow your lead. Ultimately, to move at the speed of the consumer you must set the pace. What will you work on? As the EMEA CD Marketing Manager (MarTech Ops Enablement) you will be responsible for the operational enablement of the planning, co-ordination and execution of the overall CD Marketing team strategy through Marketing Technology. This means you must have a deep appreciation for digital best practises, processes, digital platforms, and operational systems. You will report directly to the EMEA CD Marketing Director (Ops). Further details of what you will be responsible for are: Be the guardian for ensuring our integrated MarTech portfolio delivers maximum value to our marketeers Align and lead to ensure our MarTech requirements and priorities are mapped and partner with Digital Product and MarTech Program Management on new rollouts and implementation Funnel MarTech related ideas and requirements through our global intake and prioritization process Lead one or more Subject Matter Experts focused on a specific set of MarTech tools and ensure CDM teams are trained, informed on the latest MarTech developments through your SME’s Ensure a broad EMEA MarTech vision is updated, shared and adopted throughout our marketing organization Represent and drive business prioritization of marketing capabilities through our technology partners Future planning and modelling, based on strong data understanding, is imperative in this role/sub-function Continuously strive to simplify, automate, and remove friction and process duplication through technology and own KPI’s which define your success metrics and deliver against them by owning the read & respond process What you bring: A successful candidate will be expected to clearly demonstrate and articulate experience of the below essential requirements in order to be considered. Candidates that meet these criteria will then be assessed based on the Leadership Defined competencies. A minimum of 5 years’ experience in marketing or e-commerce operations and/or marketing technology Experience managing a small team is preferred Familiarity with AGILE and SCUM is a plus Ideally a strong focus on cross functional marketing and experience of industry defining Martech tooling Communicates vision & purpose by building energy and optimism in others for the organization’s vision. Ensure Nike’s Marketing Technology solutions represent the priorities of our EMEA Brand Marketing team by gathering feedback and business needs, and in partnership with Tech translate them into business cases for change Ensure our marketeers understand capability roadmaps and the benefits of our technology vision This job opening will be posted until 19th March 2021. NIKE, Inc. is a growth company that looks for team members to grow with it. Nike offers a generous total rewards package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Nike employee shares one galvanizing mission: To bring inspiration and innovation to every athlete* in the world. NIKE, Inc. is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability.",2021-03-16 16:16:31
6d09de891d7207d0,"Onder het motto ‘life is too short to dress simple’ ontwerpt en ontwikkelt JACKY LUXURY trendy kleding waarmee de zelfverzekerde en modebewuste vrouw zich kan en wil identificeren. Met inmiddels meer dan 250 verkooppunten en een groeiend online platform zijn wij opzoek naar een nieuwe collega ter aanvulling van ons team. Dit vind jij leuk: Online (pers)berichten opstellen, nieuwsbrieven (B2B en B2C) SEO-copywriting Content creatie Opzetten & uitvoeren marketingcampagnes Beheer van alle web content, inclusief afbeeldingen en productomschrijvingen Communicatie met B2C Ondersteunen bij CRM en Loyalty marketingprojecten Verhogen van vindbaarheid (SEO+SEA). Optimaliseren van de online kanalen Proactief op zoek gaan naar nieuwe samenwerkingen met marketing partners en bloggers.   Ben jij de perfecte kandidaat en heb jij wat wij zoeken? Je hebt een MBO of HBO opleidingsniveau Je hebt aantoonbare ervaring in een soortgelijke functie; Je hebt ervaring met Photoshop, InDesign, Illustrator is een pré; Je hebt affiniteit met de modebranche en online wereld. Kennis van HTML/ CSS is een pré; Je werkt graag resultaatgericht, zelfstandig en komt met eigen ideeën; Creatief, analytisch, cijfermatig sterk en je werkt nauwkeurig; Sterk in het stellen van prioriteiten, georganiseerd, oog voor detail en focus op kwaliteit; Ervaring met content management systemen; Uitstekende beheersing van de Nederlandse en Engelse taal.   Startdatum? Per direct beschikbaar  Ben jij de allrounder die verschillende taken kan oppakken op zowel de online- als offline kanalen en vooral zin heeft in een nieuwe uitdaging? Wij willen jou graag ontmoeten! Stuur jouw CV (incl. pasfoto) en motivatie naar Justin@jackyluxury.nl  (Acquisitie n.a.v. bovenstaande vacature wordt niet op prijs gesteld).",2021-03-16 16:16:34
