,id,title,company,location,postingdate,today,summary,salary,url
0,7a0e8d016c125ea9,Sales Performance Analyst,Imperial Brands,Oosterhout,6 dagen geleden,2021-03-16,"Imperial Brands legt zich toe op de ontwikkeling, productie, marketing en verkoop van shag, sigaren, sigaretten, vloeipapier en e-sigaretten.",,https://nl.indeed.com/rc/clk?jk=7a0e8d016c125ea9&fccid=42b8fe798b1f1894&vjs=3
1,8d31cb76ac49d9fe,Industrial Designer,Hudl,Den Bosch,7 dagen geleden,2021-03-16,"Our goal is to change the way coaches, athletes and analysts prepare for and stay ahead of the competition.
Interested in working at Hudl?",,https://nl.indeed.com/rc/clk?jk=8d31cb76ac49d9fe&fccid=76cfca1cf33fc977&vjs=3
2,f718684f28f31ff4,Data Analist,HalloStroom,Gouda,20 dagen geleden,2021-03-16,"Voor deze rol zoeken we een ervaren analist.
Je hebt een WO opleiding afgerond, bij voorkeur richting marketing en je hebt affiniteit met IT;",,https://nl.indeed.com/company/HalloStroom/jobs/Data-Analist-f718684f28f31ff4?fccid=923e2776b829025b&vjs=3
3,8aa254c22e0abdaf,Junior Content Marketing Analyst (m/f/d),Global Savings Group,Amsterdam,13 dagen geleden,2021-03-16,"Coordinating with freelancers, account managers and other departments to execute and optimise effective marketing campaigns.
Working in a cloud based company.",,https://nl.indeed.com/rc/clk?jk=8aa254c22e0abdaf&fccid=d47d366d134cdf11&vjs=3
4,1618fb30afa98b2f,Marketing intern,Wonderflow,Amsterdam,19 dagen geleden,2021-03-16,"As a Marketing intern, you will work together as part of the marketing team, consisting of a generalist and an industry analyst (supported by interns), and in…",,https://nl.indeed.com/rc/clk?jk=1618fb30afa98b2f&fccid=e6e844b978f35e62&vjs=3
5,d8da9cf6841ff789,Assortiment Data Analist,Plieger,Nederland,20 dagen geleden,2021-03-16,"Ervaring in markt, product of marketing analyses, bijvoorbeeld op een afdeling Product Management Category Management of Marketing.
Waar bouw je aan mee?",,https://nl.indeed.com/rc/clk?jk=d8da9cf6841ff789&fccid=4e5f062a0ab5bff4&vjs=3
6,d3e5051e65cf0770,Senior Data Analist (38 uur),My Jewellery,Den Bosch,Vandaag,2021-03-16,"De gegevens die je verwerkt komen onder andere uit onze e-commerce-, ERP en marketing automationsystemen, maar ook van externe bronnen zoals social media…",,https://nl.indeed.com/rc/clk?jk=d3e5051e65cf0770&fccid=2329ef081dc2b26d&vjs=3
7,14e260fc488972d2,Supply Chain Analist,Bol.com,Utrecht,7 dagen geleden,2021-03-16,"De inkopers, logistiek, marketing, pricing en promoties ervoor zorgt we van bol.com de beste winkel maken voor miljoenen klanten.
En dat blijven we doen.",€2.800 - €3.750 per maand,https://nl.indeed.com/rc/clk?jk=14e260fc488972d2&fccid=38c84708b80970a7&vjs=3
8,3fc8896a14f38f14,Web Analyst,World Wide Lighting,Helmond,Zojuist geplaatst,2021-03-16,"For our fast growing e-commerce platform we are looking for a Tech Web Analyst.
World Wide Lighting is market leader when it comes to lighting.",,https://nl.indeed.com/rc/clk?jk=3fc8896a14f38f14&fccid=924b90e1be8ff1eb&vjs=3
9,9760b7a59ebdce54,Data Analist,IPG Mediabrands,Nederland,Meer dan 30 dagen geleden,2021-03-16,"Ervaring met marketing platformen zoals Google Analytics is een pré.
Wij zijn opzoek naar een echte Power BI expert!
Minimaal 1 jaar ervaring als Data Analist.",,https://nl.indeed.com/rc/clk?jk=9760b7a59ebdce54&fccid=bcc67c9d86a19ca1&vjs=3
10,ad56fe7eb7005e86,Global Portfolio Strategy - Analyst,coty,Amsterdam Noord,Vandaag,2021-03-16,"Backgrounds in a combination of consumer marketing, trade marketing, commercial strategy and business planning are preferable.
Vi. In Market Sku Optimization.",,https://nl.indeed.com/rc/clk?jk=ad56fe7eb7005e86&fccid=7ad46606e93080a6&vjs=3
11,0edb0aa6b135bed3,Junior Pricing Analist Bedrijven,Achmea,Apeldoorn,4 dagen geleden,2021-03-16,"Ben jij de professionele analist, die in gesprek met marketing en sales beschikt je over overtuigingskracht en je weet je standpunten en adviezen goed over te…",€3.417 - €4.755 per maand,https://nl.indeed.com/rc/clk?jk=0edb0aa6b135bed3&fccid=5669a89b3a19b7fa&vjs=3
12,f9b4d30d147eeb32,"Marketing & Media Analist (Tijdelijk, 5 maanden)",Talpa Network,Amsterdam,24 dagen geleden,2021-03-16,"De veranderingen in het media landschap volgen elkaar snel op.
Het organiseren én juist interpreteren van data en onderzoek wordt steeds belangrijker in de snel…",,https://nl.indeed.com/rc/clk?jk=f9b4d30d147eeb32&fccid=cde184b2f823709c&vjs=3
13,af365835e5377b11,Meewerkstage Junior Recruiter,Eneco,Nederland,Vandaag,2021-03-16,"Je beheert de stagevacatures voor geheel Eneco, van Finance en data analist tot marketing en communicatie stagiaire.
Daarnaast is het volgende belangrijk:",,https://nl.indeed.com/rc/clk?jk=af365835e5377b11&fccid=0f752a0010ef00e0&vjs=3
14,233094a5fbe87200,"Junior Data Analist, Dordrecht",ENGIE,Dordrecht,Meer dan 30 dagen geleden,2021-03-16,"Ben jij de Junior Data Analist welke, samen met ons, de uitdagingen in de digitalisatie aan gaat?
Wil je meewerken aan het bereiken van onze ambitieuze…",,https://nl.indeed.com/rc/clk?jk=233094a5fbe87200&fccid=bcbba984fec63461&vjs=3
15,af365835e5377b11,Meewerkstage Junior Recruiter,Eneco,Nederland,Vandaag,2021-03-16,"Je beheert de stagevacatures voor geheel Eneco, van Finance en data analist tot marketing en communicatie stagiaire.
Daarnaast is het volgende belangrijk:",,https://nl.indeed.com/rc/clk?jk=af365835e5377b11&fccid=0f752a0010ef00e0&vjs=3
16,d3e5051e65cf0770,Senior Data Analist (38 uur),My Jewellery,Den Bosch,Vandaag,2021-03-16,"De gegevens die je verwerkt komen onder andere uit onze e-commerce-, ERP en marketing automationsystemen, maar ook van externe bronnen zoals social media…",,https://nl.indeed.com/rc/clk?jk=d3e5051e65cf0770&fccid=2329ef081dc2b26d&vjs=3
17,d8da9cf6841ff789,Assortiment Data Analist,Plieger,Nederland,20 dagen geleden,2021-03-16,"Ervaring in markt, product of marketing analyses, bijvoorbeeld op een afdeling Product Management Category Management of Marketing.
Waar bouw je aan mee?",,https://nl.indeed.com/rc/clk?jk=d8da9cf6841ff789&fccid=4e5f062a0ab5bff4&vjs=3
18,f30e06557a15cf1c,Junior Business Analist,Appnovation Technologies,Utrecht,22 dagen geleden,2021-03-16,"Appnovation Netherlands is looking for an ambitious business analyst!
Appnovation Nederland is op zoek naar een ambitieuze business analist!",,https://nl.indeed.com/rc/clk?jk=f30e06557a15cf1c&fccid=44fd14c53aec5d7e&vjs=3
19,3fc8896a14f38f14,Web Analyst,World Wide Lighting,Helmond,Zojuist geplaatst,2021-03-16,"For our fast growing e-commerce platform we are looking for a Tech Web Analyst.
World Wide Lighting is market leader when it comes to lighting.",,https://nl.indeed.com/rc/clk?jk=3fc8896a14f38f14&fccid=924b90e1be8ff1eb&vjs=3
20,d0c3eefa350256dc,Commercieel Business Analist,Bever,Pijnacker,12 dagen geleden,2021-03-16,"Het is een rol met veel vrijheid waarin je met de collega’s binnen de verschillende digitale domeinen intensief samenwerkt (digital marketing, online…",,https://nl.indeed.com/rc/clk?jk=d0c3eefa350256dc&fccid=20f2759ce6d1733c&vjs=3
21,b70206f84e6d1ee0,Data Analist Particulieren Schade,NN Insurance Belgium,Den Haag,7 dagen geleden,2021-03-16,"Ben jij onze nieuwe data analist?
Als data analist bij het team Pricing en Data bij Particulieren Schade ben je verantwoordelijk voor het ontwikkelen,…",€5.095 per maand,https://nl.indeed.com/rc/clk?jk=b70206f84e6d1ee0&fccid=24ec997c502b2e1a&vjs=3
22,99e2a445b186ca73,Marketing Specialist,WE Fashion,Utrecht,Meer dan 30 dagen geleden,2021-03-16,"Een creatieve (cijfermatige) analist die van alle (marketing) markten thuis is.
En heb je al meerdere jaren werkervaring binnen een sterke marketing gedreven…",,https://nl.indeed.com/rc/clk?jk=99e2a445b186ca73&fccid=362d8cf0b5d02023&vjs=3
