,id,title,company,location,postingdate,today,summary,salary,url
0,6a28b29568a5595a,Data Analist,Gemeente Rotterdam,Rotterdam,2 dagen geleden,2021-03-13,"De data analist wordt rechtstreeks aangestuurd door de manager Bedrijfsvoering.
Je hebt kennis en ervaring in data analyse projecten evt. met statistische/data…",€2.973 - €4.494 per maand,https://nl.indeed.com/rc/clk?jk=6a28b29568a5595a&fccid=ded0d08a7027b5a3&vjs=3
1,7912a09a73b84a41,Senior Data Analist eCommerce,Ahold Dellhaize,Zaandam,7 dagen geleden,2021-03-13,"Bij Ahold Delhaize willen we groeien.
Dat kan alleen als jij met ons meegroeit.
Daarom kan je bij ons alle kanten op met je carrière en je persoonlijke…",€6.250 per maand,https://nl.indeed.com/rc/clk?jk=7912a09a73b84a41&fccid=237b07f71d39adc8&vjs=3
2,f525346a1e0593f4,Data Analist,Dynagroup,Nuth,24 dagen geleden,2021-03-13,Het verwerken van beschikbare data en het omzetten ervan naar concrete inzichten om onze processen te verbeteren en ons efficiënter te laten werken.,,https://nl.indeed.com/company/Dynagroup/jobs/Data-Analist-f525346a1e0593f4?fccid=754c550af6fe6bf0&vjs=3
3,42d2dbc0740f816f,WO Traineeship Data Analist in omgeving Eindhoven,trainee.nl,Eindhoven,Meer dan 30 dagen geleden,2021-03-13,"Specialiseren tot professional op het gebied van data analytics & data science.
Tijdens dit Big Data Analytics Traineeship ontwikkel jij je tot junior data…",,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cm0HwNgLougAl8cDbfboVQS84oLdKNnR9UtuUo9-H5uViRcO7VMHkhKGrLR8sf0vprJHktGASalo1_ugm_PkUF9w3dzS_zUAOWyw56kjVDEypUbG8_iZrSJnILiumZL_b7QS65IUvHoUNcQb_cE0ppHVUVOeb4CmlCbd-4gFcLsOQI80SXoF3IPdgTH8qFFWH1xe5t-7JUU2afFU2ZnE_MRTo-eOTr6CXSRJN5spYMAVMgph2YU1supVBjbyiALCsNOJnwEjLxfmLR2u-CBDiPhVschoefujw0ZbBTW7jTIkjkLnbxN2Bc0Y2GLO5W0vye-Oq7MkesGHvM8StwC2YfJY8lJfqXU30ZCMRgHcF6m-4tnkbHRcqZuHXLOXxBUlStsOoYtHCFWaBGGSg5M_JGGL1IMOBfy2rGoDQA9Rs_qJxEnxu43tQ7xxEmKKjcKzEU-fVreHrKvg9bPxpt-Y037189kRvFrLAvysNCqtHx9ukUge9cct08TCSexpXGUfDqCBPnacHIqavwab2p-CfjAR73_NniZMbVVhlc8DeITuz9EaHqSvjJC0M1dA4ta2j64dRvfxgwsr91M0FPJqJaMvYF_w2o3TpDGh7ea-JjRQ==&p=3&fvj=0&vjs=3
4,07b0178cd8c65029,Informatiemanager / Business Analist,Fontys,Eindhoven,Meer dan 30 dagen geleden,2021-03-13,"Als informatiemanager / business analist voor de diensten Financiën en P&O zijn je werkzaamheden divers:
Ben jij de informatiemanager / business analist die de…",€4.445 - €5.717 per maand,https://nl.indeed.com/rc/clk?jk=07b0178cd8c65029&fccid=70f6bf3f682bfcbe&vjs=3
5,640a02bcb832fc43,data analist,HVC,Velsen-Zuid,1 dag geleden,2021-03-13,"Als Data-analist ben je in staat om inhoudelijk te schakelen met de organisatie.
Als Data-analist ben je bezig met het verzamelen en controleren van gegevens om…",€3.170 - €5.205 per maand,https://nl.indeed.com/rc/clk?jk=640a02bcb832fc43&fccid=6a85297592fcb9ab&vjs=3
6,a7858357877388d6,Data Analist,WeBlog Media B.V.,Groningen,2 dagen geleden,2021-03-13,"Dan willen we jou misschien wel als onze data analist!
Grote hoeveelheden data analyseren en trends spotten;
Onder leiding van de teamleider Marketing bepaal je…",,https://nl.indeed.com/company/WeBlog-Media-B.V./jobs/Data-Analist-a7858357877388d6?fccid=14e0895a71b665cc&vjs=3
7,c5e43e9c8c48cde8,Data-analist meetdata,Joulz,Delft,1 dag geleden,2021-03-13,"Daar waar de computer de data niet vertrouwd, komen deze bij de data-analist.
Als data-analist zorg je ervoor dat de juiste gegevens verstrekt worden aan de…",€2.790 - €3.394 per maand,https://nl.indeed.com/rc/clk?jk=c5e43e9c8c48cde8&fccid=dfdf95d24c3354aa&vjs=3
8,36dbec7ae3b622d5,Data Analist Commercie,Ahold Dellhaize,Zaandam,21 dagen geleden,2021-03-13,"Een data-gedreven organisatie, waar de stakeholders het belang van data-gedreven werken erkennen.
Een uitdagende functie met de mogelijkheid om te werken met…",,https://nl.indeed.com/rc/clk?jk=36dbec7ae3b622d5&fccid=237b07f71d39adc8&vjs=3
9,20adde329d453731,Data analist,Ascending People,Hengelo OV,22 dagen geleden,2021-03-13,"Als data analist ben je nieuwsgierig en intrinsiek gemotiveerd om met data te werken.
Word jij uitgedaagd door het creëren van diepgaand inzicht in data?",,https://nl.indeed.com/rc/clk?jk=20adde329d453731&fccid=bcbe388a1c937e3b&vjs=3
