"X","Title","Company","Location","Date","Scrape.Date","Summary","Salary","Url"
"1",0,"Data Analist","TreeHouse","Rotterdam","9 dagen geleden","2021-03-05","Dit team is verantwoordelijk voor het verzamelen en waarborgen van de de kwaliteit van onze data en ons als organisatie helpen om deze data inzichtelijk te…","","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbOies5qPN1BgKwdkTD8LtNSbl3vQGA32DWrLLWCjoLzVAWZwBSsl5ZoP9TMWGTon7uEA1ujWF9BV1O6X46CjsgekV17gmvPRwqz2bu8JBySiI6EfE5lT_Yna2NjSbpaF-1hgJ21d6yAUOA97_HZDiFqYs6m_mEKg6jqEZSeC6jfxxRmwVcyFE8N9jQ6zdLLstF4sLDYxxBIiKDLcovuOcG91da1sCjJ_WUE0cVZrlPsyg0upGJLhJaF6_Xbgdsp-y4chBx8ba-0oyBLbq47OS42Wf1bMPVCqCTxfjWa7BfkOBVrws0NMpe3Muoa3arYUAGI85mbG_K5eQLoWOp2K0ZMyTFCUxByZghWvkukBstUlQD4haMJLPMFcDfNa68uJQmeP_AmjRojcIveKp1wtInAyhA_MHEtmC0cJL-keYj4X_KiHGLs_R_UzJidnM8FI=&p=0&fvj=1&vjs=3"
"2",1,"Data Analist Sociale Zekerheid","Aon","Rotterdam","Meer dan 30 dagen geleden","2021-03-05","Data Analist Sociale…","€2.900 - €4.500 per maand","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUr1ih89J8xlxnhfvrvaSPyfeHEUaTmnzB_AydzFDKnIiZ_IebOX6YqBg3HhWjqsvLYdBMllfluWYNSinSxvVzZuTqC-wIeneBQv7gsmOlldH-883T2mDzowXLByP9ZO5WzCurSNNqTF8WDshFfeqFjIO-_WVObUg0Lu07HGLdM22WNJRJ6kJreygrL0n4WrCiomx-hMiZmVQxM2yKmJHNhthlF4U6YPserS7gDa3JrxSB3YGs1xbjGdBJuIZCoDfWxmvwjw1vYOkMecQevS0zhuAwo7pPuDMOqa2QIoZFISHc5F2H9sRTvC5pmLFlLwrXTWEW_MlrsIRKjwciU1qqgL1LTr39hFkCbLdTdVe2tQobADq6jb8msl4p8iRWD2tnNSUMTcZH9zBCc6aH-0MSURC7By2mMwCAdcchHkHOrZOG6nSFhgoLem5C9AL2aCwqLk8c2hOeyTuVzYyTk0XVUnn3u-OLlR6eiO1atEY2rv306YKsQvKzLT7vJ8w21XskimK9oXLPYlT6nXYsDOQ73H-csT3Sur-LdceDQgm25xy_DXAML4YXHcjagdi9tKL-Q45Sc6wjc8wyevXUSltSq7fSxhvFeWotES5faBA7w2Y4uZORvRG3&p=1&fvj=0&vjs=3"
"3",2,"Traineeship: Data Analist","Createment","Eindhoven","2 dagen geleden","2021-03-05","De data-wereld ligt aan jouw voeten.
Ervaring in data-analyse is niet nodig, wél breng je mee.
Gewoon omdat je hard werkt, IT, online marketing en data gaaf…","€2.500 per maand","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQVpz0dABwcJxPL6ZF89l8aMZ4ujW6gW5aOiSkCGD8kFV8HXpgi727Omxjhihm0EipkcS3-z-sPOCnggwUtodXRHTnFvhTaezc0CL9YbpLO8q7F_4VL8cADy53OexmiVjyGk-BqxjpLnY4l7blENZlG_B-vU3dJLI_tJUKh0shmhbuyuLxjS2a9cX-BRgNRa3Znu0dZQjCyRoqOyEyX061OzPDgThVZu0UKCVPCHJArRlz6XWAKJMWnGrXFlWafTewu-WqvOUrUQbfcUS1FaX42t2AES9F0jkSrsETgtv1Jy_XWaxrFyMpgC3VWGp5cbGFQL_z-ePS375JZv93WQ6l5fD5x43OAL0FUZOHZ6q9-chtALyEbGsYQiKMjczt1cMjaCU7fkyJn-206xLafFSH8PJMjPPxqlxEDLvEcGWTnGyyMsoyO3NU7szGU8ws4H4Zj3vBVDbSWf8ImaEPyUIg9y7FKxHU_4cJVk8KALu8Qkr4edhg5m6E1zilz2fEoaPDemwWQdHsALV6_iL4N5CtZ9D_B7o7fmwiZHJaiHKDF1-N4wUneEak4UWrrbvUq7ODvGh6HTPDTkLxZnlP5lQTOR93MuJ2Ts6DY3IzAmi2Sk4T6KwFNZDA18Camht8506QVxZQnGa1WQ==&p=2&fvj=0&vjs=3"
"4",3,"Data Analist","Aon","Eindhoven","Meer dan 30 dagen geleden","2021-03-05","Data…","","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUr1ih89J8xlxnhfvrvaSPyfeHEUaTmnzB_AydzFDKnIiZ_IebOX6YnjJSMiF7dRLn9puMMVtEjWmhzpOVn_3hDp8cIFVXzTAYKweJColTCEpTwGwYCi6oDI3fy3ehYQTqneslOaS-XtBKDfnTdVm9z23scPAq9apbHfs-_gsCkGhdIrdIl8xKGuPTHXLsJWSqthOo1z_X7tC7EIyUjbm3wuabUbyPk15qohKuIcqnNYQz9P_uTZhYVimeFyQq0VA07k9ZFTDV3MlT9eSQnlh2uCICOIeKTnh0p76PsKYhZ1tX5yDZHREbts4imW6zF7fA02pUxWYWOlN-MH-t1NUeWFZdquXiqKL9lRF8SYPzh5eRriRACqX5INiWY7rkuffQwTwmOmU_-NeXWUXJ7DiaiHHU1zzCvnMG0vuQPlyKtVqiOrWfteU6Wn9Zvnssx-g8FkvIyQkn67sx9M0Fr6r_4lUVnuPLwnakq2SiWkKEQheVSid0nLciPydrZR1f-73j4fmqGqCq5tiq8vuHEIMw6o-3iGlbpXLOApYjH4BQcY3-7WQsvYL5B31u_IXZE2-LXIkh-Iy7FWcP8zrM3C3iuqXIaZudTvPS0w4BF6Yi5x5jvxcAou-tOv_VwouthXM=&p=3&fvj=0&vjs=3"
"5",4,"Data Analist","Enexis","Den Bosch","9 dagen geleden","2021-03-05","MI bestaat momenteel uit een data analist, web analist, marktonderzoeker en een senior marketing intelligence medewerker.
Ervaring met web analyse is een pré.","€3.404 - €4.863 per maand","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Anhk1jJoJlLLH4x9OTW8szen6xJ4VD6sIavLZrBTsL2Dzxavgw6cdIBayY9YzcYeN89FiyY3nWsNBRV3DpG3MBoaUmZddpcQi6yjBc_t_a5WJq9O9mRQ-_qUfhBi8a7EYXt059zcaJpzlTwFQpn_VcX2DMC9Sb1CVzfP9d3D9skR6eOBN_LUsO7z_l0zQCHJXx5Zx64XFO-izEEYZqVM1_r6Ix2q9o0znK7y4ckjgQhP8MfmjVag6uWDBCPmqipGBqND66h0J7cTCPWwS77MefnAlqI6XEi8EUcy-DPavlD7_Qr00tEVqbLk8-Cnfh1IdXsvUQBUyfTloTWxWMd-K3UephDC-M5FfT1J3OocSLrq4bZa6EEq6V0Gn7v1U204k8gbA5sG-l1rKXRtb9eeS7_rpo-7NSrYBCqheoGY7OIuf6mOSE8w2vslIL6t4y2VTukIQy17pONrHOs5il9a-Egp2CI-rz9CuP8n0cONlGneAgyGeFyp10a1ENYm1OUB7p9p01An-1PJkKtOy50mlvHyX1sBuCSqSwN37bhHZKc9mtsHf5wr-CtqDi9TTvnzqncqLlVmB5rc7S6iCHBjPiGoYh-00zjvu3UXrpa_QgZ5rBcqCQSvjZQebtOQUoVx8sQhcCvtnQNjLl-FLpgrFJa5SJbVrd0Njh24Dcqhv9ysx45_2Bx7J4_-nuXZUOpQpl8sBlIK6yE1t2YsFtyCLsyMtVhCs_qmP8cwLGK_kZ6MPs9ogZTUErVK9nCDoaFJ3J2-zeAdzJk3i4Aq_6LBSwuos88ZnZ5a4jgdG8zbv6ivVaIbSj4mqGlmgb_I_jLx3eJdfbAipqLQNjZLmoebrvNTYOSFurOGdrqQVBOC8oFvxQeDo4ncBRXVaAsmqtlYaoanmXI-YsryCAc7K0SaXWMMrby2lc8mWE992TN0XDrl3--T0UlKwJjKZnwI_HRSekPfmyTq3N8uqJoK1bfxoEENMI1QdW9HoCGwWe19-9__xkwjNeozu_1bed6g8Xo7t9S5HedzR19fz2g7rNTIpp8roOiSjRyyxGXL-afYfWeU0oVMFEwlgB&p=4&fvj=0&vjs=3"
"6",5,"Data Analist","Essent","Den Bosch","23 dagen geleden","2021-03-05","Ben jij de enthousiaste analist die veel energie krijgt om onze klantbeleving op basis van NPS data te verbeteren?
Een positie waar we trots op zijn.","€3.152 - €4.902 per maand","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQOBUdm9lgaCgkWLItaF_p8-3W8GeSKzFHLrNalKuDYVpbS65g9hCoOmfOuwbfukgAEnpHmvUbRB-sBlm7CmLWfkpW6F6M82gxigMA7ZfkpU72FDXBNQgC1Qfpj6phs6HKSiiUXn5jnTiE-kZICQkM_nnOLhHak4SF9bS-1MUSrfQcl94B4D6Fgs8lJrSqI-ILSl2EBTqpbnTaQLLvwAmei_Our2eYQA7NfTCw2QPH2qiH-344GC_IwrCNAMUAbiqnEP1z8ZKcYZxXAtRG9IMvlXc5q2IgjIAVjdqvCwapxjT8DkxwoaV9-BJZqiqj-tE1FWCrzpSUmLXBnia3nwaHJaQPmxiBdahpoRap41J2_mQ7va3p3GCx_JbLx70cZLTkGLE-lRPV2PVlvpLf-knbOeZvE8z9FDaw8swPgwH5gbXu3n0uRRqSYnprTO9fuFm0UkI5BgvlZ5i6zNvQNlvR0gYDRK9SRUyllKbDxPVRtl_TQt_AmhcNSMqCXgnONLNVDX_2GGr6wAYaKsTs_qY2lkxMAY01_WEIn0ZsTtTm3y2mytCgXN4xvjGOU-FuUG3wevPAtBGnT25wSq6Ss0begpOoFV2XLFv8yH-8dVbEkYozDW7Pi9eOZ9f2Yx1o5Z41i775qSUrEA==&p=5&fvj=0&vjs=3"
"7",6,"CRO / Marketing Data Analist","Rotom Nederland B.V.","Best","7 dagen geleden","2021-03-05","Als CRO / marketing data analist word je onderdeel van een jong en dynamisch team met daarin drie directe collega’s en een teamleider.
Wat vragen wij van jou?*.","","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AIc4BrRAsVe3RSkDVo-za-HAUPmuCgbStg4LwmkcnEQuxc0c8N1QliRrvUKzd4uoUP_9J0MKqhNps4aw9hdJHMqIILiwlr4uaq411JxNW3oG6S78tSXVYjet66dER4tlfYTu9iYWPfsgTAwrDOC7_LoNzCs_FakuJ0qTikxGZF3UiS7Y_MLr4oGYIR36tJ5fEdcfd7o37K8bx4sCHZo3yttrgoRo7hdeRCtZenuDj2bvu3YA-XcCzTr9WGmMnQxNZAtzpHIHk70vHFuz71SVnlu-pCd3saeh3j-cOoOdnSruwdVRLnxnGc46UMbwwwAy0gnaMnr825puRHrknllRfsxSCbxulCZDjrQDB823bgA5NPJgZAZyY9MZI9-mUOjTsVtXMnNSZKFCqZWaoZHghaApJSEbVGSj_b5C7_kzUM2EN3ZcaTk0SEKVwlqo9wl1-Pzm7BHBPCLIaSK_-CtovE&p=6&fvj=1&vjs=3"
"8",7,"Senior Business Analist","De Wever","Tilburg","Meer dan 30 dagen geleden","2021-03-05","Je neemt een initiërende rol in het opstellen en uitvoeren van de data- en informatiestrategie.
Als Senior Business Analist analyseer je de impact van nieuwe …","€3.557 - €4.744 per maand","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AtaeNKxVTkAha_7T0xi11zZbMDGPH5fpbvSOTf1yxiDdgD61DH9iSMqvgzZfhGwPOm65-cdYQSAoATE7DzV5m8Gf_zfU6bpQxwltdeXcwFiUDVqGbBw6zUnue5nZt95OlVenql-R2EUZw0cesKtYFjjDVF-_Nr6Q2keDiwrB1NfdXvvaeGbYr4sl9WHVEV9dEWbugT3_wi8WsGIgDt1quPYKXmkGyidFf-wNRpysC1JKaOqTsYLbLieUHnerKMIFJhtIVJOxyZUwnWp71m_aRq1txU4X48WXjx5pnRuX1smH8blbzKYC4wF91WtDfRM1j2LivhDz5w96sG8k6Nj4oV_Ydk-mBowXE2cXpPD73kzrVMD6EXTnUUSk23UP9ydrjgz1WvFpVRD5tNDXUmexuglqkPeTVp3ePS8RXyG2ukEClEZaFlwlxr45bc-99t-feJtDHMV-fcgQkjxWt5RFJH&p=7&fvj=1&vjs=3"
"9",8,"Data Analist","Shoeby","Rosmalen","9 dagen geleden","2021-03-05","Jezelf blijven ontwikkelen binnen jouw vakgebied als data analist vind je belangrijk.
2-3 jaar ervaring als data analist binnen een commerciële omgeving;","","https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BFnuepSSMTg12-smkzjRqjHJkb_qFMzDGKJBpjwM66X2lghSBR4UOmAzfZhapdHpQ03gkr7_g5Df5nGGWwwvDbx_eGIu9sFzzKaCR7g3HlfCPwp9jULx13w6CvQMd2qZGJRWO5Ac__CTIUHZu7Sv5rQknnAEi-HeUfY7L6zZrevDoyGA241buX4v0bK74vVmhwgQDcCcjRFr4rw9-uF_HXUCvF-rZxLkmqMbXNemJBh-OxbHEibKUByGs2ylJST_CAmnpp4XYkB_D9zHbgdID8WE6kHxQNACEiXBR1YDJRsmw-BNr4Mz0pcujGPK1s4PiEpfF4CLrpP5K6KWA5SKZEyuTVp6ElRvhNIGnsbb2WIO1P5hx8sU5G4pr1yhq7YICDRq2QFq7PRbCdyW00qhF7xL48Vs8dJCbbTGvk60ydCFTdjmW7kqisIHf-4tuA9rrSZHBG6DVigEGbsawMGW685T1N2YjkvMC_Ju-WxMh8JqJ4kClpzoa4uXfS8lDcOuwJ8wQFwv_RyHJGYvpKGpCsekMBW-ufL-50sDYmMtenhElvr750fxcRA20GS-U2XuwOBb48bAi-ZOH2sfQloHvqxgpauKsIo0vJLS2iiA9UckUocshgKuprbQ5QXsxjCWE_-Pd0b9laHNlXejEN1f_Lkp71CU3UtxU09-30ZSe-AalPxfF8W9JeL_RAMWhHZ_LnnW_2B9PByD3D0jbyGN70&p=8&fvj=0&vjs=3"
"10",9,"(Junior) Data Analist 36-40 hours per week","BouwKennis","Werk van thuis","13 dagen geleden","2021-03-05","You visualize data and information.
You help develop intelligent/advanced ways of (automatically) analyzing data.
A typical day at the (home) office:","","https://nl.indeed.com/rc/clk?jk=fea9b49357181e96&fccid=a8eff02f7b97406b&vjs=3"
